,ra_j2000,dec_j2000,primary_name,gaiaedr3_source_id,hip,hd,tic,parallax,pmra,pmdec,gmag,bp_rp,radial_velocity,spectrum_harps_1d,spectrum_harps_2d,spectrum_sophie_1d,spectrum_sophie_2d,Teff(K),Teff_err(K),logg,logg_err,Fe/H,Fe/H_err,alpha,alpha_err,vmic,vmic_err,vmac,vmac_err,vsini,vsini_err,Notes,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,Bmag,e_Bmag,Vmag,e_Vmag,Mass,Mass-err,Mass+err,Radius,Radius-err,Radius+err,Age,Age-err,Age+err,MIST logg,MIST logg-err,MIST logg+err,Density,Density-err,density+err,MIST Teff,MIST Teff-err,MIST Teff+err,logLuminosity,logLuminosity-err,logLuminosity+err,deltanu,deltanu-err,deltanu+err,numax,numax-err,numax+err,Unnamed: 75,Unnamed: 76,Unnamed: 77,ra,dec,season_length,airmass_min,airmass_mean,tyr_rise,tyr_set,eff_nights,eff_airmass_mean,eff_seeing,nb_subexp,snr_550,snr_550_texp15,sig_rv_texp15,texp_snr_250,sig_rv_osc_texp15,sig_rv_osc+gr_texp15,HZ_period_inf,HZ_period_sup,HZ_amp_inf,HZ_amp_sup,HZ_mp_min_texp15,HZ_mp_min_osc_texp15,HZ_mp_min_osc+gr_texp15,NIGHTS,FIRST_NIGHT,LAST_NIGHT,ruwe,Teff_spec,Fe/H_spec,logg_spec,vsini_spec,Teff_phot,logRHK,Teff_gspphot,logg_gspphot,logRHK_BoroSaika+18,RHK,HJ,BDW,Teff,dist,log_ruwe,index,HWO
29,348.32074,57.168358,HD219134,2009481748875806976,114622.0,219134,283722336,152.864,2074.414,294.452,5.231896,1.216341,-18.64,,,,,4822.5500276447,155.68362738011,4.58837563258031,0.226361911881852,0.0707904307923856,0.0885105582775939,0.0,0.0,0.89,0.08,3.49,0.0,0.672103455643284,1.56742257295947,,,,,,,,3.981,0.258,3.469,0.226,3.261,0.304,6.585,0.018,5.569,0.023,0.776492059725592,-0.0297969500634835,0.0360702090070631,0.740248457389214,-0.0253685229019562,0.0277669448295751,9.7885293016318,-0.467021604306757,0.251699591186684,4.58837563258031,-0.0290341947562807,0.0234284017718478,2.70638648755261,-0.259777271350744,0.242384340301666,4817.15114728567,-112.494645688264,109.800442035879,-0.577329713753191,-0.0620127859754009,0.0673308010056817,195.386875748721,-9.28262736616648,8.33400384634444,4828.20353864902,-9.28262736616648,8.33400384634444,,,,23.221382666666667,57.168358,289,1.138498214521722,1.1864317441514596,2025.3552652923893,2026.0756583493053,208.47585894724085,1.1877127794789015,0.9443727762053707,2.0,537.0,759.0,0.0659,8.608755539377274,0.0688156059427776,0.1161418628097183,153.41138708449648,361.19340254035023,0.1060173079180572,0.1410384444926717,1.0041074895592,1.0485320990242424,1.7696345113595635,253,2020-05-16,2021-01-23,0.99794143,5046.54092671771,0.0590000000000001,4.62605227215266,3.90755470967991,4760,-6.0,,,-4.922310209985,-4.92231,0,0,5046.54092671771,6.541762612518316,-0.0008949470635694959,518,1
25,209.38358,61.492863,HD122064,1661568850770761600,68184.0,122064,202380743,99.3325,-31.693,216.29,6.169921,1.220587,-26.75,,,,,4784.2128347237,167.752273576122,4.57588551827378,0.256852406220638,0.157796264159958,0.106609104645229,0.0,0.0,0.9,0.07,3.53,0.0,0.98329075394898,1.36038501484714,,4.045,0.366,3.844,0.214,4.073,0.015,5.018,0.26,4.402,0.206,4.094,8.888,7.546,0.018,6.497,0.023,0.79985256179423,-0.023834556660203,0.0261535014276045,0.76152518356128,-0.0070134778477257,0.0073220475821197,9.80579641856225,-0.421038617286714,0.215569773314851,4.57588551827378,-0.0180726074012512,0.0190414773942242,2.55255566237849,-0.119890316532208,0.13389524667189,4843.98353805317,-71.2152241058202,77.165695252208,-0.541214211207584,-0.02094273509599,0.0228315568012183,189.821173030146,-4.31783512508918,4.71508140837179,4674.59767413665,-4.31783512508918,4.71508140837179,,,,13.958905333333334,61.492863,295,1.1871767281403232,1.2312902116048696,2025.9144791785584,2026.6447407158173,210.37105516602728,1.233863349543049,1.034500238956235,1.0,468.0,468.0,0.1071,10.963225241337865,0.1091130182111376,0.1495485348158096,165.32185104804535,383.5628443582362,0.1021756969316697,0.1352642511227905,1.6855759239681585,1.7172574835498855,2.3536452824485763,256,2020-12-05,2020-08-16,0.9920542,5070.26171564791,0.1725,4.66965673774216,4.59960083361425,4710,-6.0,4671.7427,4.5109,-5.00376705755,-5.003767,0,0,5070.26171564791,10.06719855032341,-0.003464599904392113,438,1
41,9.840856,21.250475,54Psc,2802397960855105920,3093.0,3651,434210589,90.0248,-461.948,-369.624,5.654319,1.018104,-33.0,,,,,5262.78869297055,188.902902975112,4.51189607922308,0.293615720519128,0.115965239007593,0.0857773969451041,0.0,0.0,0.92,0.04,2.93,0.0,0.727964568448895,1.68270783154463,,3.786,0.365,3.577,0.254,3.898,0.014,4.549,0.206,4.064,0.24,3.999,0.036,6.744,0.02,5.884,0.023,0.893282432007543,-0.0414380930658962,0.0244228163723282,0.867776644799577,-0.0102937606797966,0.0099682998498363,9.78590840799672,-0.424432445042392,0.236770727027674,4.51189607922308,-0.0298372837041834,0.0286063120093916,1.92902194345229,-0.141047156967211,0.154105663746639,5313.48545883025,-101.696628196656,112.954077363795,-0.267460629504648,-0.0253858820098063,0.0274876534114999,165.627782326276,-5.70460467339441,6.09322726856985,3835.96796423376,-5.70460467339441,6.09322726856985,,,,0.6560570666666667,21.250475,262,1.00833444571529,1.0638699298432093,2025.4342131351427,2026.1184217641296,193.7112838403152,1.069969852981923,0.905056092586606,2.0,445.0,629.0,0.0829,9.456620059887925,0.0870480832662871,0.1544527516836732,232.77585734860773,538.1384931417552,0.085008382554668,0.1124036621143793,1.6342359793027597,1.7160085597479962,3.044779781710177,242,2020-06-12,2020-02-08,0.87889403,5478.30972919872,0.225,4.66734096814908,3.6559522185607,5140,-6.0,5110.9243,4.4555,-5.079498434693334,-5.079498,0,0,5478.30972919872,11.108050226159902,-0.05606348551852506,676,1
48,272.4059,38.45778,HD166620,4610177733290768896,88972.0,166620,75946144,90.1234,-316.454,-468.348,6.129807,1.08343,-19.36,,,True,True,5003.03534050541,45.1094147714835,4.55475127890431,0.0904246371678658,-0.235,0.130700320769478,0.0960466893763629,0.0,0.673002209685106,0.0596133792484143,3.2,0.0,0.0,0.0,,4.236,0.279,3.996,0.13,4.235,0.014,4.952,0.278,4.458,0.192,4.232,0.021,7.28,0.02,6.394,0.023,0.780517554961007,-0.022246400645332,0.0300661739974546,0.769915958408259,-0.0052580247093828,0.0049872146900301,9.95938803485601,-0.233438858488144,0.125757184108323,4.55475127890431,-0.0129788989562547,0.0176958008128922,2.41497645498796,-0.0782405735862208,0.107993886076021,5019.57416552855,-40.3237697420864,41.3570540951951,-0.4705087401397,-0.0110067934452698,0.0118692743233204,185.182336383019,-2.82974248928465,3.75621907521554,4391.03348879939,-2.82974248928465,3.75621907521554,,,,18.16039333333333,38.45778,314,1.0145484379194605,1.081697891653984,2025.069079362409,2025.8881632309733,238.8367439330532,1.0711727295438798,0.891917196864372,1.0,514.0,514.0,0.0987,10.461156612218826,0.1604078008496761,0.3542623029358264,153.41138708449648,361.19340254035023,0.1060173079180572,0.1410384444926717,1.405041848096929,2.2834819954913166,5.043093828044858,290,2021-01-31,2020-11-15,1.0380744,5510.9998455215,-0.0920000000000005,4.57536168224412,0.0,4970,-4.993118913046352,4914.261,4.4963,-5.031609528773333,-5.012364,0,0,5510.9998455215,11.095897402894254,0.016228481018724383,1072,1
1,45.608444,26.60924,51Ari,115311458058061440,14150.0,18803,34691643,47.181,233.067,-168.452,6.455846,0.857362,10.09,,,,,5673.42927587891,116.251697203957,4.47969891384125,0.173159735264312,0.151,0.108413927143912,0.0,0.0,1.13751234558662,0.0657934853919639,3.65,0.0,3.38041428835591,0.815944223763444,,5.0,0.186,4.745,0.087,5.0,0.015,5.34,0.021,5.024,0.015,4.951,0.016,7.332,0.022,6.616,0.022,1.03839719927161,-0.0343646355407692,0.025514075459651,0.972034404915772,-0.007033092253376,0.0072595976454704,9.21152839302269,-0.514610765127349,0.310096594551274,4.47969891384125,-0.0184712082675222,0.0131296977812099,1.59824022152953,-0.0734849579708561,0.0571372057407291,5770.44337811803,-64.2978066055503,62.95677862504,-0.0260653285025028,-0.0142602626370769,0.0145140815512833,150.639126346255,-3.28270600608107,2.46532734803367,3414.80427909545,-3.28270600608107,2.46532734803367,,,,3.0405629333333337,26.60924,262,1.0006580309161692,1.056146110415882,2025.52302945824,2026.207238087228,184.97424657401635,1.063782705381913,0.9300281231188762,1.0,424.0,424.0,0.1342,11.518033440636586,0.1463544403143116,0.2779043664738438,421.3031025565775,888.9382417334455,0.0648197006034179,0.0831379538247918,3.550498319459421,3.872065531903037,7.352451461518759,243,2020-07-14,2020-03-12,0.8499111,5673.42927587891,0.151,4.44589746783745,3.38041428835591,5590,-6.0,5435.6226,4.3607,-4.869638403105,-4.869638,0,0,5673.42927587891,21.194972552510546,-0.07062649875464141,33,0
30,352.84253,59.16552,HD221354,2011251030583236352,116085.0,221354,444314028,59.367,1106.442,113.402,6.537038,1.002228,-25.22,,,True,True,5026.97919432775,104.359109604893,4.4626973241282,0.0601921347855576,0.0620000000000002,0.122545742912494,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,,,,,,,,5.346,0.037,4.975,0.084,4.797,0.016,7.607,0.02,6.765,0.023,0.861901906789075,-0.0165381548600363,0.0243896955700432,0.900530843591736,-0.0107864094168899,0.0120570823827724,10.0694584037594,-0.0934082228873354,0.0440763166438956,4.4626973241282,-0.0111114611919332,0.0158868988303391,1.66375366572875,-0.0620630370472661,0.0734397825893598,5218.23033567057,-56.8408341625927,60.5055644535105,-0.266740265900156,-0.0212276246363606,0.0238505878867315,154.44129928253,-2.79781348017636,3.06819322135263,3472.29121743555,-2.79781348017636,3.06819322135263,,,,23.522835333333333,59.16552,289,1.161242775998892,1.2055326020932458,2025.3750022530776,2026.0822373362007,204.62606984182747,1.2068577386412882,0.9566397182750414,1.0,406.0,406.0,0.1257,11.770590385768958,0.2367981729170486,0.5097062480135259,206.3739777112253,484.64735362114544,0.0900628171445807,0.1197114885422133,2.2756670356164737,4.286983263337606,9.227698539794236,250,2020-05-22,2021-01-26,1.0221732,5026.97919432775,0.0620000000000002,3.99732138102179,0.0,5180,-4.84271723961188,5152.031,4.4399,-5.12955538343,-4.986136,0,0,5026.97919432775,16.84437482102852,0.009524490154050505,519,0
10,150.25273,31.92367,20LMi,746545172372256384,49081.0,86728,172954294,66.9958,-528.871,-429.376,5.204957,0.840548,56.01,,,,,5819.75988639469,114.658994459218,4.36304276538836,0.156818430585985,0.269,0.0878577049923944,0.0,0.0,1.13624125128718,0.0410592675132353,4.08,0.0,3.47940885633396,0.722775616647672,,3.708,0.339,3.535,0.186,3.846,0.014,4.267,0.328,4.04,0.258,3.821,0.036,6.045,0.02,5.38,0.023,1.09512922549282,-0.0514039222511493,0.0508403840257057,1.14097006598118,-0.0130877310099984,0.0125913158262354,9.61827656738759,-0.299657728472438,0.191257234431969,4.36304276538836,-0.0289053361113201,0.0294777859589015,1.04145484598729,-0.0782708761957858,0.0856939811860844,5838.1651531976,-112.395992868778,110.429290942638,0.133678122230449,-0.0255157193070089,0.0242444471797174,122.252554989717,-4.26939514476143,4.47735452787161,2596.61470803074,-4.26939514476143,4.47735452787161,,,,10.016848666666668,31.92367,265,1.0014386617201825,1.0590587041780926,2025.769741466844,2026.4605290827271,181.3919319413947,1.0695899131583817,0.9766675931875874,2.0,536.0,758.0,0.0601,8.614432266363687,0.1095615672400406,0.3329156665951099,518.0826590560929,1043.3254634862217,0.0591949581377173,0.0747523702867211,1.7582483596519611,3.2052653224742,9.7395744541313,244,2020-10-13,2020-06-12,0.9407839,5819.75988639469,0.269,4.37632388465072,3.47940885633396,5730,-6.0,5759.9775,4.2297,-4.993484505196666,-4.993485,0,0,5819.75988639469,14.926308813388301,-0.026510123454360955,215,1
37,288.02094,49.855747,HD179958,2132788541955849984,94336.0,179958,298896144,39.5809,-210.538,621.066,6.379267,0.814975,-40.99,,,,,5707.50458366637,115.117333242993,4.26857147338041,0.178250556554895,-0.0049999999999998,0.0978409593764563,0.0,0.0,1.19305845200562,0.0402117845658291,3.98,0.0,2.47543618053801,0.958041414058,,,,,,,,,,,,4.971,0.024,7.12,0.022,6.47,0.002,0.971642781617042,-0.040531585991346,0.0506965125276205,1.19764784866348,-0.0254505671604517,0.0275551853088491,9.9799582065343,-0.118854763841776,0.0883657171759964,4.26857147338041,-0.0293281734486275,0.0314829133905601,0.797251541609103,-0.0653412900981939,0.0729198989566198,5735.72471915402,-93.2125969171648,102.570610760645,0.145873703019401,-0.0255290655481945,0.0275822656962695,108.118481907088,-4.19363975396989,4.34836698067784,2106.80601614363,-4.19363975396989,4.34836698067784,,,,19.201396,49.855747,316,1.0721885765596828,1.1336628470210035,2025.1184217641296,2025.9342161392465,236.42491838333743,1.1231573047123495,0.9113254916695946,1.0,437.0,437.0,0.1301,11.345419140300969,0.1995872873615846,0.4822459423924061,318.1119076325314,713.7715223240443,0.0730553818518328,0.0956412650706562,2.701331652574768,4.144131105314253,10.01311474642855,288,2020-02-19,2020-12-02,0.9930931,5698.90584261805,0.008,4.20602378525255,2.73782612826798,5690,-6.0,5675.3115,4.2367,-4.93061411491,-4.930614,0,0,5698.90584261805,25.26471100960312,-0.0030100355721232263,561,0
36,288.0195,49.85389,HD179957,2132788541955849216,,179957,298896136,39.5784,-185.724,630.111,6.539502,0.828164,-41.86,,,,,5698.90584261805,118.321760213559,4.31055965475331,0.182528545774,0.008,0.112065980207665,0.0,0.0,1.20348924258642,0.0426801286486627,3.94,0.0,2.73782612826798,0.94556181708596,,,,,,,,,,,,5.084,0.024,7.25,0.0,6.59,,0.967454617913619,-0.0412454651384369,0.0488255222675134,1.13842616652664,-0.0244437658951824,0.0265398301453603,9.95868870850418,-0.131553778262528,0.102117334295185,4.31055965475331,-0.0304004617653595,0.0316907159046904,0.923902438153949,-0.0783068129445509,0.0867549169996724,5720.38375586199,-93.2131626039181,109.051437260773,0.0976267592523956,-0.026385900070674,0.0287150202617956,116.033423314877,-4.67283010859616,4.90702094790971,2326.45853409461,-4.67283010859616,4.90702094790971,,,,19.2013,49.85389,316,1.072175189956373,1.1336500190566223,2025.1184217641296,2025.9342161392465,236.42491838333743,1.1231441694298685,0.911319046977789,1.0,406.0,406.0,0.1401,11.770590385768958,0.215550087688277,0.508116173599846,318.1119076325314,713.7715223240443,0.0730553818518328,0.0956412650706562,2.90896667583186,4.475574747022362,10.550271352270864,288,2020-02-19,2020-12-02,0.97826606,5707.50458366637,-0.0049999999999998,4.23586801248845,2.47543618053801,5730,-6.0,5616.256,4.3393,-4.95357051573,-4.953571,0,0,5707.50458366637,25.266306874456774,-0.00954301364233223,560,0
11,174.68709,45.108418,HD101177A,773861404893710208,56809.0,101177A,393884179,42.9391,-595.844,15.079,6.323875,0.753345,-17.01,,,,,5885.81877776673,102.998380694098,4.43626938661004,0.090502019126986,-0.172,0.0815430649011665,0.0676662855698702,0.0,1.17409487240501,0.0346610512225777,0.0,,0.0,0.0,,4.166,,4.799,0.293,5.096,0.016,5.355,0.039,5.107,0.033,5.025,0.016,7.044,0.023,6.29,0.03,1.01448162479391,-0.0469998440703356,0.0399581433988949,1.00940154141029,-0.0085609311306063,0.0096351624027972,9.49422804012017,-0.35817634587659,0.233988368377446,4.43626938661004,-0.027367816042033,0.022978834930603,1.39240304072796,-0.0942843500806882,0.0883759246091962,5981.00754972807,-89.4389619231597,79.3328395134358,0.0689634780016855,-0.0186823062902271,0.0170080893887763,140.716683493759,-4.43870045976448,3.95740004006234,3035.11833481958,-4.43870045976448,3.95740004006234,,,,11.645806,45.108418,276,1.0414042236942076,1.0993999660755935,2025.8256628554605,2026.532897938584,192.1438886284452,1.104172327914514,0.9937099536562014,1.0,433.0,433.0,0.139,11.397702454754342,0.1962228640343198,0.4783687017315731,373.0653118788716,813.1422084169923,0.0680900039476034,0.0882830315111676,3.4349277206896565,4.8490025547093705,11.82130873588563,252,2020-11-01,2020-07-09,0.93917286,5885.81877776673,-0.172,4.28196651792801,0.0,5930,-6.0,5834.493,4.3512,,-6.0,0,0,5885.81877776673,23.288797389791586,-0.02725446605657854,220,0
