,Rank,starname,V,Teff (K),log g,Δ,t_exp (s),rms (m/s),N_obs,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,Nobs tot,RV RMS tot
0,1.0,HD172051,5.85,5636.0,4.58,1.41,448.0,1.11,21.0,4.732,1022.0,,9.0,25.0,,1.24,1.03,,1.25,34.0,1.241
1,2.0,HD4614A,3.46,5919.0,4.37,5.35,383.0,2.8,45.0,4.666,1070.0,1.0,30.0,58.0,,1.16,1.19,,,89.0,1.28
2,3.0,HD219834B,5.2,5135.0,4.48,3.69,277.0,3.4,63.0,4.592,,,,,,,,,,,
3,4.0,HD143761,5.4,5833.0,4.29,5.35,457.0,3.0,186.0,4.582,1253.0,10.0,27.0,71.0,3.4,4.14,4.01,-1.38,0.5,108.0,3.721
4,5.0,HD86728,5.4,5742.0,4.31,4.02,433.0,3.2,48.0,4.509,1203.0,5.0,34.0,94.0,0.76,0.88,1.15,1.15,1.37,133.0,1.016
5,6.0,HD10700,3.49,5333.0,4.6,1.0,214.0,2.5,272.0,4.506,1110.0,1.0,30.0,54.0,,0.86,1.09,-0.02,1.68,85.0,1.01
6,7.0,HD201091,5.21,4361.0,4.63,0.76,180.0,2.4,84.0,4.504,,,,,,,,,,,
7,8.0,HD190360,5.7,5549.0,4.29,3.66,446.0,3.2,143.0,4.48,1074.0,5.0,24.0,45.0,1.37,1.89,2.03,,2.01,74.0,1.77
8,9.0,HD10780,5.63,5344.0,4.54,3.34,380.0,3.43,15.0,4.479,1002.0,,32.0,59.0,,1.12,1.26,0.25,-0.18,91.0,1.092
9,10.0,HD157214,5.38,5817.0,4.61,2.7,378.0,3.1,44.0,4.478,1068.0,1.0,23.0,62.0,,1.07,1.06,0.35,1.38,86.0,1.203
10,11.0,HD186427,6.2,5747.0,4.37,4.81,710.0,2.7,118.0,4.46,949.0,,13.0,42.0,,1.68,2.3,,0.57,55.0,1.948
11,12.0,HD4628,5.74,4937.0,4.54,0.64,352.0,1.72,37.0,4.44,1021.0,,35.0,69.0,,1.21,1.36,,3.28,104.0,1.16
12,13.0,HD185144,4.67,5242.0,4.56,0.55,233.0,2.2,227.0,4.412,1230.0,19.0,49.0,95.0,0.73,0.92,0.6,1.82,1.66,163.0,0.739
13,14.0,HD34411,4.7,5873.0,4.26,1.88,492.0,2.7,83.0,4.378,917.0,,29.0,58.0,,1.08,1.13,,1.66,87.0,0.985
14,15.0,HD179957,6.75,5741.0,4.42,3.1,1016.0,2.0,97.0,4.367,1001.0,,14.0,28.0,,0.73,1.23,,1.26,42.0,1.049
15,16.0,HD10476,5.24,5190.0,4.51,0.72,260.0,2.8,133.0,4.336,878.0,,26.0,44.0,,1.21,2.03,,,70.0,1.688
16,17.0,HD186408,5.96,5778.0,4.28,3.53,806.0,2.9,86.0,4.317,949.0,,13.0,41.0,,2.58,1.72,,-0.33,54.0,1.884
17,18.0,HD38858,5.97,5735.0,4.46,1.32,546.0,2.41,117.0,4.317,908.0,,29.0,50.0,,2.42,2.06,,5.22,79.0,1.953
18,19.0,HD50692,5.76,5913.0,4.39,2.6,642.0,3.2,81.0,4.287,952.0,,31.0,57.0,,1.49,2.32,,2.84,88.0,2.152
19,20.0,HD68017,6.78,5626.0,4.6,4.53,942.0,3.1,105.0,4.286,974.0,,30.0,60.0,,0.9,1.56,,1.56,90.0,1.286
20,21.0,HD115617,4.74,5562.0,4.44,1.41,316.0,3.96,228.0,4.281,1229.0,3.0,23.0,83.0,0.77,1.85,2.23,3.71,2.02,109.0,2.008
21,22.0,HD154345,6.76,5455.0,4.52,3.52,864.0,3.0,141.0,4.278,1001.0,,23.0,56.0,,2.38,2.97,,2.36,79.0,2.672
22,23.0,HD55575,5.55,5888.0,4.32,2.24,722.0,2.8,55.0,4.273,921.0,,32.0,48.0,,1.0,1.44,,1.64,80.0,1.381
23,24.0,HD52711,5.93,5886.0,4.39,2.62,660.0,3.3,78.0,4.266,947.0,,30.0,53.0,,1.18,1.65,,2.18,83.0,1.597
24,25.0,HD19373,4.05,5938.0,4.18,2.14,595.0,3.3,85.0,4.258,904.0,,36.0,49.0,,1.72,1.73,,0.77,85.0,1.684
25,26.0,HD95735,7.49,3464.0,4.86,1.72,640.0,2.8,165.0,4.256,1246.0,4.0,34.0,94.0,1.01,0.79,1.35,,,132.0,1.068
26,27.0,HD217107,6.18,5575.0,4.25,6.21,844.0,4.35,123.0,4.248,1032.0,,22.0,33.0,,4.66,4.54,,,55.0,4.394
27,28.0,HD221354,6.76,5221.0,4.47,0.96,796.0,1.8,171.0,4.247,1099.0,2.0,41.0,65.0,,1.06,1.19,0.05,1.36,108.0,1.1
28,29.0,HD154119,6.94,5732.0,4.51,2.59,1130.0,2.2,92.0,4.247,,,,,,,,,,,
29,30.0,HD196761,6.36,5473.0,4.55,2.17,644.0,3.52,36.0,4.206,,,,,,,,,,,
30,31.0,HD26965,4.43,5092.0,4.51,2.93,257.0,7.87,99.0,4.196,861.0,,36.0,47.0,2.57,2.57,2.34,,3.7,83.0,2.635
31,32.0,HD146233,5.5,5785.0,4.41,1.53,538.0,3.47,161.0,4.196,885.0,,16.0,23.0,,1.65,2.15,,4.82,39.0,2.079
32,33.0,HD182572,5.17,5587.0,4.15,2.31,618.0,3.91,83.0,4.187,1012.0,,16.0,59.0,,2.1,1.98,,2.61,75.0,1.703
33,34.0,HD24496A,6.81,5531.0,4.5,4.89,936.0,4.2,96.0,4.174,902.0,,32.0,50.0,1.19,1.19,3.15,,,82.0,2.619
34,35.0,HD110897,5.95,5911.0,4.49,2.72,566.0,4.7,44.0,4.173,970.0,,31.0,83.0,,1.48,2.03,,0.47,114.0,2.113
35,36.0,HD126053,6.25,5714.0,4.54,2.13,660.0,3.8,80.0,4.16,928.0,,26.0,75.0,,1.46,1.41,,,101.0,1.315
36,37.0,HD116442,7.06,5155.0,4.54,2.13,982.0,2.8,56.0,4.152,914.0,,22.0,66.0,,0.74,0.61,,0.73,88.0,0.624
37,38.0,HD9407,6.52,5672.0,4.45,0.72,826.0,1.9,206.0,4.146,1247.0,2.0,39.0,61.0,1.16,1.16,1.1,0.71,1.01,102.0,1.071
