,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,WDS(code),pmag,prot,origin
0,HD19019,Gaia DR3 6963761190199424,HD19019,HIP14258,-,TIC365294034,-,-,J03038+0608A,G0V,PM*,45.9617,6.1333,03038+0608,,6.3,THE_stellar(RHK+Mamajek)
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,J03174+0739A,F8,PM*,49.3599,7.6558,03174+0739,,6.1,THE_stellar(RHK+Mamajek)
2,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,02361+0653,13.4,51.8,THE_YARARA
2,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,02361+0653,,46.1,THE_stellar(RHK+Mamajek)
3,HD15095,Gaia DR3 24340923991956352,HD15095,-,-,TIC381002396,-,-,-,G0,PM*,36.5462,10.6378,-,,9.5,THE_stellar(RHK+Mamajek)
4,HD15942,Gaia DR3 26147868272907648,HD15942,HIP11941,-,TIC408819542,-,-,-,G0,PM*,38.5152,12.1809,-,,15.2,THE_stellar(RHK+Mamajek)
5,HD18144,Gaia DR3 34959010860789632,HD18144,HIP13601,-,TIC257918985,-,-,-,G8V,PM*,43.8225,16.3092,-,,23.5,THE_stellar(RHK+Mamajek)
7,HD21962,Gaia DR3 42768532716776704,HD21962,HIP16538,-,TIC435290852,-,-,J03330+1636A,F5,PM*,53.2397,16.5984,03330+1636,,3.2,THE_stellar(RHK+Mamajek)
8,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,J03545+1637A,G7V,PM*,58.6168,16.6161,03545+1637,,31.6,THE_stellar(RHK+Mamajek)
9,HD24040,Gaia DR3 43802039287826432,HD24040,HIP17960,-,TIC456863621,-,-,-,G1,PM*,57.5957,17.4764,-,,18.9,THE_stellar(RHK+Mamajek)
10,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,G4V+G8V,RS*,64.5076,18.2568,-,,7.5,THE_stellar(RHK+Mamajek)
11,HD27406,Gaia DR3 48203487411427456,HD27406,HIP20237,-,TIC17232188,-,-,-,F9V+,BY*,65.054,19.2335,-,,2.83,THE_VSINI
11,HD27406,Gaia DR3 48203487411427456,HD27406,HIP20237,-,TIC17232188,-,-,-,F9V+,BY*,65.054,19.2335,-,,4.0,THE_stellar(RHK+Mamajek)
12,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-,39Tau,"J04053+2201Aa,Ab",G5V,**,61.3344,22.0089,04053+2201,,5.2,THE_stellar(RHK+Mamajek)
13,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,03183+1810,,24.6,THE_stellar(RHK+Mamajek)
14,HD24206,Gaia DR3 64085383120724864,HD24206,HIP18097,-,TIC440702883,-,-,-,G7V,PM*,58.0233,22.6716,-,,16.6,THE_stellar(RHK+Mamajek)
15,HD23965,Gaia DR3 64115585330656000,HD23965,HIP17928,-,TIC440695415,-,-,-,F7,PM*,57.5144,22.5916,-,,3.9,THE_stellar(RHK+Mamajek)
15,HD23965,Gaia DR3 64115585330656000,HD23965,HIP17928,-,TIC440695415,-,-,-,F7,PM*,57.5144,22.5916,-,,4.42,THE_VSINI
16,HD24213,Gaia DR3 66892264508548864,HD24213,HIP18106,-,TIC385590511,-,-,-,G0,PM*,58.0475,25.1631,-,,14.9,THE_stellar(RHK+Mamajek)
17,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,-,,1.0,THE_stellar(RHK+Mamajek)
17,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,-,,1.66,THE_VSINI
18,HD15029,Gaia DR3 72806949867680640,HD15029,HIP11309,-,TIC58898300,-,-,-,F5,PM*,36.3914,11.9712,-,,9.0,THE_stellar(RHK+Mamajek)
19,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,02329+1502,,9.9,THE_stellar(RHK+Mamajek)
22,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,01425+2016,10.0,36.8,THE_YARARA
22,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,01425+2016,,35.6,THE_stellar(RHK+Mamajek)
24,HD13382,Gaia DR3 100254161710940928,HD13382,HIP10218,-,TIC306426710,-,-,-,G5V,BY*,32.8464,21.3773,-,,7.1,THE_stellar(RHK+Mamajek)
25,HD13825,Gaia DR3 101309452355657216,HD13825,HIP10505,-,TIC118295030,-,-,-,G5IV-V,PM*,33.8517,24.2713,-,,21.5,THE_stellar(RHK+Mamajek)
26,30AriB,Gaia DR3 102082477749475200,HD16232,HIP12184,-,TIC22874788,-,30AriB,J02370+2439B,F6V,PM*,39.2406,24.6481,02370+2439,,1.55,THE_VSINI
27,HD12846,Gaia DR3 104453918172129792,HD12846,HIP9829,-,TIC405376575,-,-,-,G2V,PM*,31.626,24.334,-,,30.0,THE_rotation_periods
27,HD12846,Gaia DR3 104453918172129792,HD12846,HIP9829,-,TIC405376575,-,-,-,G2V,PM*,31.626,24.334,-,,22.8,THE_stellar(RHK+Mamajek)
28,lamAriB,Gaia DR3 104717285566534016,HD11973B,-,-,TIC60986644,-,lamAriB,J01579+2336B,G0,PM*,29.4905,23.6031,01579+2336,,5.4,THE_stellar(RHK+Mamajek)
28,lamAriB,Gaia DR3 104717285566534016,HD11973B,-,-,TIC60986644,-,lamAriB,J01579+2336B,G0,PM*,29.4905,23.6031,01579+2336,,1.35,THE_VSINI
29,HD12661,Gaia DR3 105332908999068032,HD12661,HIP9683,-,TIC118268680,-,-,-,K0V,PM*,31.1429,25.4143,-,,25.6,THE_stellar(RHK+Mamajek)
30,HD14082A,Gaia DR3 107774202769886848,HD14082A,HIP10680,-,TIC118301925,-,-,J02174+2845A,F2,BY*,34.3554,28.745,02174+2845,,1.0,THE_stellar(RHK+Mamajek)
30,HD14082A,Gaia DR3 107774202769886848,HD14082A,HIP10680,-,TIC118301925,-,-,J02174+2845A,F2,BY*,34.3554,28.745,02174+2845,,5.25,THE_VSINI
31,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,03035+2304,,8.5,THE_stellar(RHK+Mamajek)
32,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,02482+2704,,7.5,THE_stellar(RHK+Mamajek)
33,51Ari,Gaia DR3 115311458058061440,HD18803,HIP14150,GJ120.2,TIC34691643,-,51Ari,-,G8V,PM*,45.6084,26.6092,-,5.0,,THE_rotation_periods
33,51Ari,Gaia DR3 115311458058061440,HD18803,HIP14150,GJ120.2,TIC34691643,-,51Ari,-,G8V,PM*,45.6084,26.6092,-,,20.8,THE_stellar(RHK+Mamajek)
34,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,02556+2652,,53.3,THE_stellar(RHK+Mamajek)
35,HD20367,Gaia DR3 122704230645584768,HD20367,HIP15323,-,TIC101349357,-,-,-,F8V,PM*,49.4169,31.127,-,,12.4,THE_stellar(RHK+Mamajek)
36,HD17674,Gaia DR3 129321160344480512,HD17674,HIP13291,-,TIC77490014,-,-,-,G0V,PM*,42.7679,30.2867,-,,12.1,THE_stellar(RHK+Mamajek)
37,HD16397,Gaia DR3 132922438878995968,HD16397,HIP12306,GJ9089,TIC73626552,-,-,-,G0V,PM*,39.6161,30.8166,-,,17.2,THE_stellar(RHK+Mamajek)
38,HD20209,Gaia DR3 138009810462247296,HD20209,HIP15205,-,TIC101261261,-,-,-,F5,PM*,49.0073,35.0452,-,,12.5,THE_stellar(RHK+Mamajek)
39,HD19308,Gaia DR3 138972467251590656,HD19308,HIP14532,-,TIC186807955,-,-,J03077+3637A,G0,PM*,46.9142,36.6176,03077+3637,,18.7,THE_stellar(RHK+Mamajek)
40,HD28483,Gaia DR3 144130516816579200,HD28483,HIP21008,-,TIC18372016,-,-,-,F6V,PM*,67.5749,19.8405,-,,3.7,THE_stellar(RHK+Mamajek)
40,HD28483,Gaia DR3 144130516816579200,HD28483,HIP21008,-,TIC18372016,-,-,-,F6V,PM*,67.5749,19.8405,-,,1.92,THE_VSINI
41,HD29150,Gaia DR3 144786577364287104,HD29150,HIP21436,-,TIC118553305,-,-,-,G5,*,69.0582,21.5365,-,,16.8,THE_stellar(RHK+Mamajek)
