,star,ins,drs,jdb,rv,rv_std
0,HD100067,大輔,drs,54185.73731217656,30.172078820842177,0.03
1,HD100067,大輔,drs,54189.457381027976,30.190799830459135,0.03
2,HD100067,大輔,drs,54875.56556988725,30.241561729614315,0.03
0,HD100067,麻衣,drs,54184.79244586115,30.21479417060123,0.03
1,HD100067,麻衣,drs,54189.78306336766,30.21754957124806,0.03
2,HD100067,麻衣,drs,54874.133867783865,30.25189306751853,0.03
3,HD10008,奈々,drs,55166.549734611275,11.768539454418177,0.03
4,HD10008,太郎,drs,57562.05076408833,11.767397846571956,0.03
5,HD10008,太郎,drs,59529.97939833014,11.734455941701178,0.03
6,HD10008,太郎,drs,59838.43547699427,11.738253833519174,0.03
21,HD10008,美穂,drs,57558.85038517307,11.738772509797784,0.03
22,HD10008,美穂,drs,59529.61736016751,11.729718837235254,0.03
7,HD10008,翔,drs,60674.64595000598,11.685039266654972,0.03
8,HD10008,慎一,drs,51399.890126542305,11.830244708414368,0.03
9,HD10008,慎一,drs,51489.040529874765,11.806788039094087,0.03
10,HD10008,慎一,drs,51873.814347521286,11.760767331283963,0.03
11,HD10008,慎一,drs,51904.9231104213,11.793059611389095,0.03
12,HD10008,慎一,drs,52131.4780189481,11.73990959414622,0.03
13,HD10008,慎一,drs,52143.58627522311,11.757899465165858,0.03
14,HD10008,慎一,drs,52162.51884492159,11.777590441154246,0.03
15,HD10008,慎一,drs,52166.0772841119,11.79449292649728,0.03
16,HD10008,慎一,drs,52169.76415394137,11.766891827015076,0.03
17,HD10008,慎一,drs,52171.10605810995,11.759477556331037,0.03
18,HD10008,慎一,drs,52185.61968645503,11.723918498091884,0.03
19,HD10008,慎一,drs,52198.36504811883,11.729337187272392,0.03
20,HD10008,慎一,drs,52216.97569140806,11.759656927412586,0.03
21,HD10008,慎一,drs,52226.3566164284,11.716606296832667,0.03
22,HD10008,慎一,drs,52252.03384017274,11.735676976201871,0.03
23,HD10008,慎一,drs,52303.69096050709,11.776140273532889,0.03
24,HD10008,慎一,drs,52307.05205089623,11.781144556019596,0.03
25,HD10008,慎一,drs,52455.143864421574,11.75759253374878,0.03
26,HD10008,慎一,drs,52486.730930516154,11.768367603711576,0.03
27,HD10008,慎一,drs,52496.90102367653,11.7689181344764,0.03
28,HD10008,慎一,drs,52546.370346636715,11.77131619974354,0.03
29,HD10008,慎一,drs,52562.1564792177,11.749685800714715,0.03
30,HD10008,慎一,drs,52592.20903301164,11.77736151203971,0.03
31,HD10008,慎一,drs,53589.520221860395,11.706016171911436,0.03
32,HD10008,慎一,drs,53596.94891731536,11.736850019738243,0.03
33,HD10008,慎一,drs,53616.1876015604,11.764504093453002,0.03
34,HD10008,慎一,drs,53728.7993707189,11.811340226888673,0.03
35,HD10008,慎一,drs,54002.80440785055,11.779654564550269,0.03
36,HD10008,慎一,drs,54069.98061317306,11.767625753342326,0.03
37,HD10008,愛,drs,53313.82360208233,11.897507642974896,0.03
38,HD10008,愛,drs,53332.01181065681,11.81730867889368,0.03
39,HD10008,愛,drs,53370.936874736544,11.83857975856685,0.03
40,HD10008,愛,drs,53373.613040312055,11.90435412261186,0.03
41,HD10008,愛,drs,56569.43631799023,11.790528521353956,0.03
42,HD10008,愛,drs,56570.14840746539,11.639370270550456,0.03
43,HD10008,愛,drs,56570.45640477975,11.686701409988142,0.03
44,HD10008,愛,drs,56576.88265996548,11.694600187048213,0.03
45,HD10008,愛,drs,56844.69154195777,11.686652462727054,0.03
46,HD10008,愛,drs,56988.37013566596,11.6922599676818,0.03
11,HD10008,和也,drs,53314.85061841826,11.7934548729882,0.03
12,HD10008,和也,drs,53334.48577796976,11.710400911006356,0.03
13,HD10008,和也,drs,53369.59108132298,11.72202062870594,0.03
14,HD10008,和也,drs,53373.45174688981,11.71420866691483,0.03
15,HD10008,和也,drs,56567.603047156415,11.75668095116819,0.03
17,HD10008,和也,drs,56571.47429127478,11.779499998804576,0.03
16,HD10008,和也,drs,56568.102769721176,11.73056326765396,0.03
18,HD10008,和也,drs,56573.835530313496,11.665891863319615,0.03
19,HD10008,和也,drs,56846.81195501939,11.760010322982334,0.03
