,star,Pmag,Kmean,Kamp,Kpred,Lpred,Lside,MHK_2026.0,MHK_2026.5,MHK_2027.0,MHK_2027.5,MHK_2028.0,MHK_2028.5,MHK_2029.0,MHK_2029.5,MHK_2030.0,MHK_2030.5,MHK_2031.0,MHK_2031.5,MHK_2032.0,MHK_2032.5,MHK_2033.0,MHK_2033.5,MHK_2034.0,MHK_2034.5,MHK_2035.0,MHK_2035.5,MHK_2036.0,MHK_err_2026.0,MHK_err_2026.5,MHK_err_2027.0,MHK_err_2027.5,MHK_err_2028.0,MHK_err_2028.5,MHK_err_2029.0,MHK_err_2029.5,MHK_err_2030.0,MHK_err_2030.5,MHK_err_2031.0,MHK_err_2031.5,MHK_err_2032.0,MHK_err_2032.5,MHK_err_2033.0,MHK_err_2033.5,MHK_err_2034.0,MHK_err_2034.5,MHK_err_2035.0,MHK_err_2035.5,MHK_err_2036.0
0,HD10008,0.0,111.2,0.0,111.2,-99.9,?,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
1,HD100563,26.0,20.1,7.1,3.2,-99.9,?,30.4,30.3,30.3,30.2,30.2,30.1,30.1,30.1,30.0,30.0,29.9,29.9,29.8,29.8,29.7,29.7,29.7,29.6,29.6,29.5,29.5,3.0,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9,4.0,4.0
2,HD101,0.0,3.2,0.0,3.2,-99.9,?,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
3,HD101198,0.0,-4.3,0.0,-4.3,-99.9,?,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4,HD101242,0.0,31.0,0.0,31.0,-99.9,?,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
5,HD101472,7.7,68.0,1.7,71.5,0.87,-,71.3,71.1,71.0,70.9,70.9,71.0,71.1,71.4,71.7,72.0,72.3,72.5,72.6,72.6,72.5,72.3,72.1,71.9,71.8,71.7,71.8,8.4,8.6,8.7,8.9,9.0,9.1,9.3,9.5,9.8,10.0,10.3,10.6,10.8,11.0,11.3,11.4,11.6,11.7,11.9,12.0,12.2
6,HD101501,9.9,78.3,22.7,54.2,-99.9,?,65.3,63.9,62.3,60.5,58.6,56.6,54.6,52.7,50.9,49.2,47.7,46.5,45.6,44.9,44.5,44.4,44.6,45.0,45.5,46.3,47.1,6.8,6.9,7.0,7.1,7.2,7.3,7.3,7.4,7.5,7.6,7.7,7.8,8.0,8.2,8.4,8.7,9.0,9.3,9.6,9.9,10.1
7,HD102870,0.0,10.8,0.0,10.8,-99.9,?,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
8,HD103095,6.9,0.0,2.7,4.0,0.95,-,3.5,3.3,3.0,2.5,1.9,1.4,1.1,1.0,1.3,1.8,2.5,3.1,3.4,3.5,3.5,3.2,2.9,2.5,2.0,1.6,1.4,1.6,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,1.9,1.9,1.9
9,HD103774,7.0,5.4,4.0,4.4,0.27,+,4.5,5.4,6.2,6.9,7.2,7.3,7.0,6.4,5.5,4.6,3.8,3.4,3.3,3.7,4.4,5.3,6.1,6.7,7.1,7.1,6.8,2.6,2.7,2.9,3.1,3.2,3.2,3.2,3.1,2.9,2.8,2.7,2.6,2.6,2.6,2.7,2.9,3.1,3.3,3.4,3.4,3.3
10,HD103799,0.0,-9.7,0.0,-9.7,-99.9,?,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,-9.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
11,HD10476,9.8,6.6,9.9,11.9,0.99,-,10.7,10.5,10.0,9.3,8.5,7.7,6.7,5.6,4.4,3.2,2.1,1.5,1.4,2.0,3.1,4.7,6.4,8.0,9.3,10.1,10.4,1.2,1.2,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.4
12,HD105405,4.9,9.2,1.3,8.8,0.22,-,8.8,8.5,8.5,8.7,9.1,9.5,9.7,9.7,9.4,9.0,8.6,8.4,8.4,8.7,9.0,9.4,9.6,9.6,9.3,8.9,8.5,3.0,2.9,2.9,3.0,3.1,3.1,3.2,3.3,3.4,3.3,3.3,3.2,3.2,3.3,3.4,3.5,3.5,3.6,3.6,3.6,3.6
13,HD106116,0.0,1.9,0.0,1.9,-99.9,?,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,HD106210,0.0,11.5,0.0,11.5,-99.9,?,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
15,HD106252,0.0,-0.9,0.0,-0.9,-99.9,?,0.2,-1.0,-2.7,-4.0,-3.4,-1.5,-0.1,0.5,0.8,0.9,0.4,-0.6,-2.2,-3.8,-3.7,-1.9,-0.4,0.4,0.7,0.9,0.6,2.7,2.2,1.8,1.5,1.8,2.2,2.4,2.7,2.7,2.7,2.7,2.4,1.9,1.6,1.7,2.2,2.4,2.6,2.7,2.7,2.7
16,HD106423,5.5,0.0,0.0,0.0,-99.9,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
17,HD107113,0.0,6.4,0.0,6.4,-99.9,?,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
18,HD107146,24.0,162.6,22.2,168.2,-99.9,?,167.9,166.4,164.9,163.3,161.6,160.0,158.3,156.6,155.0,153.5,152.1,150.7,149.5,148.4,147.5,146.8,146.3,145.9,145.7,145.7,145.9,12.1,12.4,12.6,12.8,12.9,13.0,13.1,13.1,13.1,13.0,13.0,12.9,12.8,12.7,12.6,12.5,12.4,12.3,12.3,12.2,12.2
19,HD10757,0.0,2.7,0.0,2.7,-99.9,?,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7
20,HD10780,12.2,26.0,26.1,26.2,0.81,-,29.7,27.0,23.7,20.5,18.4,17.9,19.0,21.3,23.7,25.5,26.2,25.7,24.3,22.6,20.8,19.3,18.4,18.1,18.4,19.2,20.2,5.9,6.3,6.6,6.9,7.2,7.3,7.3,7.1,7.0,7.2,7.6,8.2,8.6,8.4,7.8,7.0,6.4,6.0,5.9,6.1,6.8
21,HD108510,0.0,22.7,0.0,22.7,-99.9,?,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
22,HD109098,0.0,-0.2,0.0,-0.2,-99.9,?,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
23,HD109358,0.0,1.8,0.0,1.8,-99.9,?,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
24,HD11007,0.0,-1.9,0.0,-1.9,-99.9,?,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
25,HD110897,0.0,-2.5,0.0,-2.5,-99.9,?,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,HD111031,21.6,2.0,0.6,-0.8,0.05,-,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.6,-0.5,-0.5,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,3.3,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.9,3.9,3.9,4.0,4.0,4.0
27,HD111066,0.0,0.7,0.0,0.7,-99.9,?,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
28,HD11131,7.8,128.5,22.7,144.2,0.77,+,155.0,150.8,145.5,140.3,136.4,134.7,135.5,138.8,143.8,149.5,154.7,158.5,159.9,158.7,155.2,150.2,144.7,140.1,137.2,136.7,138.7,6.8,7.3,7.8,8.2,8.6,9.0,9.3,9.6,9.7,9.8,9.8,9.8,10.1,10.5,11.1,11.7,12.2,12.7,13.1,13.5,13.8
29,HD111395,0.0,55.9,0.0,55.9,-99.9,?,44.1,44.3,45.8,48.3,51.5,54.6,57.1,58.4,58.1,56.0,52.4,48.0,43.8,40.7,39.3,39.6,41.6,44.6,47.9,50.9,52.8,10.3,9.8,10.0,11.1,12.7,14.3,15.9,17.2,18.4,19.4,20.2,20.7,20.7,20.5,20.2,20.3,20.9,22.1,23.6,25.2,26.7
30,HD111398,0.0,-2.4,0.0,-2.4,-99.9,?,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
31,HD111513,0.0,-0.4,0.0,-0.4,-99.9,?,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
