,star,ins,jdb,rv,rv_std
0,HD100067,陽菜,54186.78410556154,30.202962633594645,0.03
1,HD100067,陽菜,54191.006571180274,30.250964826610893,0.03
2,HD100067,陽菜,54875.22244917892,30.18631660290878,0.03
3,HD10008,結衣,55127.91179360984,11.72116178713076,0.03
4,HD10008,結衣,57655.900802993805,11.700401286492829,0.03
5,HD100167,智也,57011.00791967287,-21.96798722019978,0.03
6,HD100167,智也,57505.322875448,-3.2812526085551657,0.03
7,HD100339,由美,54184.31887150714,21.651094233424296,0.03
8,HD100339,由美,54187.86885057125,21.66034486856364,0.03
9,HD100339,由美,54539.52777983765,21.685465152923044,0.03
10,HD100446,彩,54133.469744273134,-31.91796965128238,0.03
11,HD100446,彩,54134.263170890496,-31.812794864155578,0.03
12,HD100446,彩,54134.11505832596,-31.865937509310623,0.03
13,HD100446,彩,54138.86636711226,-31.804664283332947,0.03
14,HD100446,彩,54139.384370713095,-30.642416399723157,0.03
15,HD100446,彩,54140.040750179134,,0.03
16,HD100446,彩,54140.10184411768,-30.713403549078375,0.03
17,HD100446,彩,54141.924100282806,-30.644347493814596,0.03
18,HD100446,彩,54142.27497043611,-30.68945250161912,0.03
19,HD100446,彩,58553.872897287765,-30.638583560978663,0.03
20,HD100446,彩,58610.624348956495,-30.69519826921398,0.03
21,HD100446,彩,58915.475241371765,-30.63946012176924,0.03
22,HD100446,彩,59361.95421705966,-30.65897348766405,0.03
23,HD100446,彩,59597.8421392257,-30.619013226509782,0.03
24,HD100446,彩,59953.83983606064,-30.721759525248796,0.03
25,HD100446,彩,60106.47020256004,,0.03
26,HD100446,彩,60109.64387950526,-30.669886588933917,0.03
27,HD100446,彩,60129.067818708725,-30.744086495016138,0.03
28,HD100446,彩,60276.8546803725,-30.674947565518927,0.03
29,HD100446,彩,60295.68990518559,-30.587491221941367,0.03
30,HD100446,彩,60301.053744525205,-30.697009897224167,0.03
31,HD100446,彩,60324.34124105416,-30.636998432618284,0.03
32,HD100446,彩,60343.22570004787,-30.634515925416583,0.03
33,HD100446,彩,60381.3679144303,-30.65126771408284,0.03
34,HD100446,彩,60385.381166539,-30.69715641804756,0.03
35,HD101,美咲,54328.65758831282,-45.31613975601473,0.03
36,HD101,美咲,54350.93969241692,-45.32031302161516,0.03
37,HD101,美咲,54352.539029895306,-45.39371259607273,0.03
38,HD101,美咲,54356.890620867984,-45.37002738351505,0.03
39,HD101,美咲,54358.89863136722,-45.29825241261461,0.03
40,HD101,美咲,54360.620515847455,-45.33891805567861,0.03
41,HD101,美咲,54363.262669228105,-45.319302070416654,0.03
42,HD101,美咲,54364.03066190499,-45.32803162865453,0.03
43,HD101,美咲,54365.023364448825,-45.29632767518823,0.03
44,HD101,美咲,54368.09529540587,-45.299563088209105,0.03
45,HD101,美咲,54375.71065680601,-45.32321672256209,0.03
46,HD101,美咲,54430.529071827295,-45.25245120486973,0.03
47,HD101,美咲,54431.1377623771,-45.32611300438813,0.03
48,HD101,美咲,54497.29141725313,,0.03
49,HD101,美咲,54703.34517654715,-45.32561983930975,0.03
50,HD101,美咲,54705.99769128998,-45.32347189918739,0.03
51,HD101,美咲,54707.41875875775,-45.25424496464378,0.03
52,HD101,美咲,55031.99210863434,-45.39964044934495,0.03
53,HD101,美咲,55032.579397759466,-45.33508184734941,0.03
54,HD101,美咲,55036.305586911105,-45.333068999965505,0.03
55,HD101,美咲,55038.55030517782,-45.313527742065375,0.03
56,HD101,美咲,55040.3881853201,-45.34394662408998,0.03
57,HD101,美咲,55042.01427394723,-45.325217445557826,0.03
58,HD101,美咲,55041.89449854881,-45.33688826633093,0.03
59,HD101,美咲,55059.82600881225,,0.03
60,HD101,美咲,55061.48275568788,-45.32097494806171,0.03
61,HD101,美咲,55062.237131132424,-45.3496165325128,0.03
62,HD101,美咲,55063.1951843545,-45.327674843019295,0.03
63,HD101,美咲,55062.64444270432,-45.31866025545401,0.03
64,HD101,美咲,55064.26700777479,-45.27405140195038,0.03
65,HD101,美咲,55068.49902032205,-45.34689476263367,0.03
66,HD101,美咲,55071.792068321774,-45.334643919058315,0.03
67,HD101,美咲,55214.8083348396,,0.03
68,HD101,美咲,55437.07640847438,-45.325792700129995,0.03
69,HD101,美咲,55467.898066462774,-45.38150488290632,0.03
70,HD101,美咲,55472.7926245618,-45.321041157016495,0.03
71,HD101,美咲,55475.131425737265,-45.33755824224101,0.03
72,HD101,美咲,55525.30921469333,-45.300286063047274,0.03
73,HD101,美咲,55790.91174181139,-45.34791044500131,0.03
74,HD101,美咲,55796.65208885795,-45.27349126549593,0.03
75,HD101242,健,54501.28459444249,23.916732113384477,0.03
76,HD101242,健,54500.29947866908,23.99948537916621,0.03
77,HD101242,健,54505.243383785186,23.90883997310816,0.03
78,HD101242,健,54506.92671071153,23.900299254997773,0.03
79,HD101242,健,54505.540870930105,23.98912947132754,0.03
80,HD101242,健,54507.56755432193,23.872604797629037,0.03
81,HD101242,健,54852.413565238254,24.017901374308813,0.03
82,HD101242,健,54878.78027722493,25.144353102619466,0.03
83,HD101242,健,54878.14210826147,23.90842705349977,0.03
84,HD101242,健,54962.83022638959,23.98270919970527,0.03
85,HD101242,健,55284.34497266659,23.967887031044775,0.03
86,HD101242,健,55583.999922761395,23.884033371973484,0.03
87,HD101242,健,55615.39873057191,23.969850267118876,0.03
88,HD101242,健,55630.09476153216,23.930130240801123,0.03
89,HD101242,健,55642.402446594475,23.943412555047967,0.03
