,code,star,ins,drs,pipeline,yvx,ra,dec,teff,logg,feh,mhk,mhk_err,rhk,rhk_err,fwhm_ins,fwhm_g2,fwhm_garfield,fwhm_kitty,vsini,sb1,sb2,IF_SPEC,IF_CCF
0,HD100067_SOPHIE_1.0_Snaky,HD100067,SOPHIE,1.0,Snaky,YV0,172.755,32.316611,6130.0,4.26,-0.32,-5.3,39.13,-5.3,0.48,2.9,9.94,8.58,8.01,4.37,0.0,0.0,1,1
1,HD10008_CORALIE14_3.8_Snaky,HD10008,CORALIE14,3.8,Snaky,YV0,24.397778,-6.760425,5370.0,4.52,-0.01,112.8,35.88,-4.41,0.113,4.54,8.51,6.78,6.28,0.97,1.0,0.0,1,1
2,HD10008_HARPS03_3.3.6_Snaky,HD10008,HARPS03,3.3.6,Snaky,YV0,24.397778,-6.760425,5300.0,4.52,-0.05,110.4,4.48,-4.42,0.013,3.31,7.44,5.81,5.36,1.24,0.0,0.0,1,1
3,HD10008_HARPS03_3.5_Snaky,HD10008,HARPS03,3.5,Snaky,YV0,24.397778,-6.760425,5311.0,4.53,-0.04,108.5,7.92,-4.42,0.023,3.27,7.43,5.79,5.34,1.2,0.0,0.0,1,1
4,HD10008_HARPS15_3.3.6_Snaky,HD10008,HARPS15,3.3.6,Snaky,YV0,24.397778,-6.760425,5348.0,4.53,-0.0,119.0,7.57,-4.39,0.021,3.43,7.44,5.81,5.36,1.15,0.0,0.0,1,1
5,HD10008_SOPHIE_1.0_Snaky,HD10008,SOPHIE,1.0,Snaky,YV0,24.397562,-6.760306,5391.0,4.51,0.0,120.1,54.89,-4.4,0.187,4.84,7.98,6.34,5.87,1.05,0.0,0.0,1,1
6,HD100167_SOPHIE_1.0_Snaky,HD100167,SOPHIE,1.0,Snaky,YV0,172.974792,41.439194,5861.0,4.39,-0.0,36.1,22.38,-4.72,0.128,4.43,8.7,7.34,6.91,2.98,0.0,1.0,1,1
7,HD100339_SOPHIE_1.0_Snaky,HD100339,SOPHIE,1.0,Snaky,YV0,173.207083,18.002306,6174.0,4.28,-0.12,-34.9,74.07,-5.93,0.547,4.22,12.68,10.38,9.73,6.26,0.0,0.0,1,1
8,HD100446_SOPHIE_1.0_Snaky,HD100446,SOPHIE,1.0,Snaky,YV0,173.529583,65.242528,6028.0,4.3,-0.42,-14.8,47.67,-5.19,0.409,4.25,7.76,6.68,6.41,1.54,0.0,0.0,1,1
9,HD100563_HARPS03_3.3.6_Snaky,HD100563,HARPS03,3.3.6,Snaky,YV0,173.591454,3.060165,6329.0,4.2,0.08,15.3,3.6,-4.85,0.028,3.27,21.12,19.4,18.48,14.36,0.0,0.0,1,1
10,HD100563_HARPS15_3.3.6_Snaky,HD100563,HARPS15,3.3.6,Snaky,YV0,173.591454,3.060165,6391.0,4.2,0.07,18.2,25.95,-4.91,0.201,3.44,21.16,19.38,18.25,14.12,0.0,0.0,1,1
11,HD101_SOPHIE_1.0_Snaky,HD101,SOPHIE,1.0,Snaky,YV0,1.477917,18.235,5919.0,4.39,-0.23,2.8,17.87,-4.96,0.199,4.15,8.01,6.81,6.45,2.02,0.0,0.0,1,1
12,HD101198_HARPS03_3.3.6_Snaky,HD101198,HARPS03,3.3.6,Snaky,YV0,174.666742,-13.201939,6238.0,4.08,-0.14,-3.2,2.53,-5.02,0.029,3.32,8.48,7.28,6.87,3.89,0.0,0.0,1,1
13,HD101198_HARPS03_3.5_Snaky,HD101198,HARPS03,3.5,Snaky,YV0,174.666742,-13.201939,6238.0,4.08,-0.14,-3.3,2.24,-5.02,0.026,3.28,8.47,7.27,6.87,3.06,0.0,0.0,1,1
14,HD101242_SOPHIE_1.0_Snaky,HD101242,SOPHIE,1.0,Snaky,YV0,174.754167,6.057889,5735.0,4.45,-0.01,32.1,22.18,-4.73,0.131,4.23,8.13,6.76,6.35,1.91,0.0,0.0,1,1
15,HD101472_CORALIE07_3.4_Snaky,HD101472,CORALIE07,3.4,Snaky,YV0,175.152451,-8.405658,3836.0,5.0,0.0,,,,,7.15,10.59,9.47,9.35,6.29,0.0,0.0,1,1
16,HD101472_CORALIE14_3.8_Snaky,HD101472,CORALIE14,3.8,Snaky,YV0,175.152451,-8.405658,6039.0,4.33,-0.12,93.9,35.76,-4.47,0.122,3.75,10.5,8.81,8.26,4.51,0.0,1.0,1,1
17,HD101501_SOPHIE_1.0_Snaky,HD101501,SOPHIE,1.0,Snaky,YV0,175.2625,34.201639,5586.0,4.47,0.02,80.4,10.32,-4.51,0.037,4.16,7.86,6.41,5.97,1.12,0.0,0.0,1,1
18,HD101676_SOPHIE_1.0_Snaky,HD101676,SOPHIE,1.0,Snaky,YV0,175.51625,12.284806,6560.0,4.0,0.0,-23.7,40.26,-5.4,0.391,4.2,8.26,7.13,6.79,0.78,0.0,1.0,1,1
19,HD101690_SOPHIE_1.0_Snaky,HD101690,SOPHIE,1.0,Snaky,YV0,175.530417,4.747333,5903.0,4.38,-0.17,3.9,24.06,-4.98,0.27,4.23,7.76,6.59,6.26,1.41,0.0,0.0,1,1
20,HD10195_SOPHIE_1.0_Snaky,HD10195,SOPHIE,1.0,Snaky,YV0,25.525833,69.086,6000.0,4.37,0.01,107.6,63.54,-4.44,0.192,3.56,12.23,10.12,9.51,6.13,0.0,0.0,1,1
21,HD10211_SOPHIE_1.0_Snaky,HD10211,SOPHIE,1.0,Snaky,YV0,25.2525,49.103944,5987.0,4.26,0.21,-3.0,41.97,-5.04,0.418,3.64,9.71,8.26,7.75,4.12,0.0,0.0,1,1
22,HD102870_HARPS03_3.3.6_Snaky,HD102870,HARPS03,3.3.6,Snaky,YV0,177.673827,1.764722,6080.0,4.12,0.15,11.1,2.76,-4.88,0.022,3.37,8.59,7.26,6.85,3.35,0.0,0.0,1,1
23,HD102870_SOPHIE_1.0_Snaky,HD102870,SOPHIE,1.0,Snaky,YV0,177.672083,1.765389,6107.0,4.17,0.11,10.6,20.78,-4.89,0.144,4.21,9.02,7.63,7.16,3.03,0.0,0.0,1,1
24,HD103095_HARPN_3.0.1_Snaky,HD103095,HARPN,3.0.1,Snaky,YV0,178.244868,37.718678,5037.0,4.72,-1.23,2.7,5.3,-4.96,0.056,3.09,6.19,4.79,4.53,0.32,0.0,0.0,1,1
25,HD103095_SOPHIE_1.0_Snaky,HD103095,SOPHIE,1.0,Snaky,YV0,178.242083,37.718667,5054.0,4.7,-1.22,7.1,34.29,-4.92,0.365,4.2,6.89,5.55,5.21,0.32,0.0,0.0,1,1
26,HD103774_HARPS03_3.3.6_Snaky,HD103774,HARPS03,3.3.6,Snaky,YV0,179.231622,-12.107908,6252.0,4.19,0.1,5.6,17.46,-4.93,0.179,3.32,13.94,11.49,10.74,7.4,0.0,0.0,1,1
27,HD103774_HARPS03_3.5_Snaky,HD103774,HARPS03,3.5,Snaky,YV0,179.231622,-12.107908,6252.0,4.19,0.1,5.8,17.66,-4.93,0.184,3.31,13.95,11.49,10.74,8.82,0.0,0.0,1,1
