PRIMARY,GAIA,HD,HIP,GJ,CSTL,TIC,TOI,Predicted M [Mearth],R [Rearth],Period [days],T0 / Epoch [BJD],Predicted RV semi amp [m/s],Confirmed exoplanets
HD133725,Gaia DR3 1295674883108568704,HD133725,HIP73765,-,-,20182165,1830.01,317,18.205,9.7815625,2459680.305818,81.7,0
HD155060,Gaia DR3 1334288219648212352,HD155060,HIP83827,-,-,21832928,2128.01,7.43,2.6290790227577,16.341388902098,2458987.266354,1.8,1
HD50554,Gaia DR3 3380479015342121600,HD50554,HIP33212,-,-,80224448,6965.01,2.38,1.3473607884414,5.9693397478899,2459505.193695,0.8,1
HD50554,Gaia DR3 3380479015342121600,HD50554,HIP33212,-,-,80224448,6965.02,3.27,1.6221344497358,28.06939485536,2459508.008646,0.6,1
HD191785,Gaia DR3 1809360187275432832,HD191785,HIP99452,GJ783.2A,-,87216634,5789.01,7,2.53704,12.9256051,2459776.255982,2.1,0
HD197310,Gaia DR3 1870443315230650240,HD197310,-,-,-,99896567,6074.01,3.09,1.5690906536833,12.132450643432,2458690.53445,0.8,0
HD63433,Gaia DR3 875071278432954240,HD63433,HIP38228,-,-,130181866,1726.01,5.86,2.2881711022293,7.1079340439739,2458845.373051,1.9,3
HD63433,Gaia DR3 875071278432954240,HD63433,HIP38228,-,-,130181866,1726.02,7.16,2.5734283075191,20.543815332181,2459583.637103,1.7,3
HD148049,Gaia DR3 1423602030208324864,HD148049,HIP80264,-,-,162631539,5724.01,9.4,3.018725818513,697.40376979826,2458978.277627,0.6,0
HD73344,Gaia DR3 666427539629086976,HD73344,HIP42403,-,-,175193677,5140.01,8.79,2.9033346686438,15.611363326614,2459547.722323,2.1,3
HD158259,Gaia DR3 1416050859226670848,HD158259,HIP85268,-,-,188768068,1462.01,2.21,1.28228,2.1779407,2460338.523071,1.1,5
HD155902,Gaia DR3 1432617510160019200,HD155902,HIP84062,GJ3993,-,198384408,1689.01,4.85,2.0471843690411,9.1238101195933,2458823.255936,1.5,0
HD189733,Gaia DR3 1827242816201846144,HD189733A,HIP98505,GJ4130,-,256364928,4470.01,116.88,13.301035504692,2.2185748039122,2459770.410421,64.4,1
HD219134,Gaia DR3 2009481748875806976,HD219134,HIP114622,GJ892,-,283722336,1469.01,2.19,1.2815317143707,3.0929386,2460606.251961,1.1,6
HD219134,Gaia DR3 2009481748875806976,HD219134,HIP114622,GJ892,-,283722336,1469.02,2.52,1.39215,6.7650398,2460599.497252,1,6
rhoCnc,Gaia DR3 704967037090946688,HD75732,HIP43587,GJ324A,rho Cnc,332064670,1773.01,4.76,2.0231121301302,0.73654625026276,2458870.692828,3.6,5
HD25463,Gaia DR3 3301771025223950336,HD25463,HIP18893,-,-,407966340,554.01,8.5,2.8464941160578,7.0491608412181,2458442.615430,2.4,2
HD25463,Gaia DR3 3301771025223950336,HD25463,HIP18893,-,-,407966340,554.02,2.34,1.3337424776642,3.0440440820513,2458438.475888,0.9,2
