,index,RA,DEC,PRIMARY,GAIA,HIP,HD,TIC,plx,pmra,pmdec,gmag,BP-RP,RV,spH1D,spH2D,spS1D,spS2D,teff,teff_err,logg,logg_err,feh,feh_err,vmic,vmic_err,vmac,vmac_err,vsini,vsini_err,instrument,gdr3_teff,gdr3_teff_err,gdrs3_logg,gdr3_logg_err,gdr3_feh,gdr3_feh_err,w1mag,w1mag_err,w2mag,w2mag_err,w3mag,w3mag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,bmag,bmag_err,vmag,vmag_err,U,U_err,V,V_err,W,W_err,LikeMemb,MembProb,simbad_Otype,PlanetHost,SB,A550,chisqSED,nptsSED,radius_SED,radius_SED_up,radius_SED_low,teff_SED,teff_SED_up,teff_SED_low,FiltFlag,goodFlag
0,1,45.961727,6.1333013,HD19019,Gaia DR3 6963761190199424,14258.0,19019,365294034.0,31.9791,232.147,49.838,6.792566,0.709241,24.68,,,,,6097.0,100.0,4.37,0.1,-0.04,0.04,1.58,0.05,6.61,0.37,0.0,0.0,FEROS,5994.2554,2.6157227,4.2681,0.005300045,-0.5364,0.023999989,5.542,0.198,5.43,0.052,5.599,0.016,5.882,0.029,5.645,0.071,5.57,0.016,7.474,0.023,6.92,0.023,-40.165013594517,0.357144736604282,-14.8956233341645,0.051525498134842,3.57849628597859,0.346292204365088,ThinDisk,98.8401279205417,HighPM*,,,0.0106391441,0.18081639385618,5.0,1.04971456486999,1.06896889,1.02385187,6110.0,6182.12402,6054.90674,True,False
1,5,49.359943,7.655811,HD20430,Gaia DR3 10584899657116672,15304.0,20430,445925825.0,21.2723,166.357,-6.305,7.265665,0.714235,31.35,True,True,True,True,6078.0,101.0,4.44,0.1,0.23,0.04,1.29,0.08,5.5,0.37,2.0,0.13,"HARPS,SOPHIE",,,,,,,5.976,0.117,5.883,0.045,5.989,0.017,6.291,0.023,6.052,0.047,5.992,0.021,7.961,0.063,7.394,0.005,-42.6978351948235,0.378580894567544,-23.1064092541761,0.0432494072430417,-1.46000235785873,0.32422226818245,ThinDisk,98.5668246628632,HighPM*,,,0.0152480444,2.08310852836702,8.0,1.30938042683575,1.32982874,1.27782178,6020.0,6099.93604,5969.62988,False,True
2,10,39.020424,6.886773,HD16160,Gaia DR3 19316224572460416,12114.0,16160,278962915.0,138.34,1778.585,1477.306,5.49832,1.198643,25.23,True,True,True,True,4882.0,101.0,4.22,0.11,-0.07,0.04,0.92,0.06,3.48,0.05,2.0,0.0,"HARPS,SOPHIE",,,,,,,,,,,,,4.152,0.264,3.657,0.244,3.481,0.208,0.337,0.304,5.826,0.023,-76.2749335916813,0.323346360358689,1.65409254065049,0.0958925575670137,33.0615053666627,0.369167689227364,ThinDisk,91.868811275129,HighPM*,,,,,,,,,,,,,
3,13,36.546196,10.637804,HD15095,Gaia DR3 24340923991956352,,15095,381002396.0,28.3173,83.943,-258.166,7.187089,0.732744,-0.12,,,True,True,5885.0,101.0,4.05,0.1,-0.31,0.04,1.15,0.05,5.1,0.28,0.0,0.0,SOPHIE,,,,,,,5.875,0.131,5.831,0.051,5.928,0.016,6.254,0.023,5.982,0.024,5.901,0.018,7.883,0.025,7.33,0.023,6.77328190300621,0.322136085190402,-39.85610630175,0.134170447544605,-20.7588737950612,0.358454738474366,ThinDisk,96.4631314051519,HighPM*,,,0.0116709629,0.138857010461849,5.0,1.02924269666658,1.04468489,1.00248265,5990.0,6067.05176,5949.15088,False,False
4,14,38.515167,12.1808605,HD15942,Gaia DR3 26147868272907648,11941.0,15942,408819542.0,22.5207,183.664,-35.423,7.351462,0.797716,33.97,True,True,True,True,5896.0,102.0,4.34,0.1,0.37,0.04,1.15,0.04,4.31,0.29,0.08,0.43,HARPS,,,,,,,6.012,0.105,5.986,0.045,6.055,0.017,6.331,0.021,6.091,0.018,6.015,0.018,8.168,0.026,7.49,0.03,-45.4254115723934,0.33822663377593,-21.6876850895057,0.132645801787548,-13.051499297889,0.343980155789463,ThinDisk,98.1787432861375,HighPM*,,,0.0143405395,3.00264088314274,8.0,1.22402377363676,1.25036597,1.20371795,5930.0,5981.60449,5864.8667,False,True
5,19,43.822525,16.30919,HD18144,Gaia DR3 34959010860789632,13601.0,18144,257918985.0,37.3281,204.03,-46.598,7.222821,0.899191,-1.2,,,True,True,5570.0,102.0,4.29,0.11,0.08,0.04,1.03,0.06,3.44,0.15,0.0,0.0,SOPHIE,,,,,,,5.736,0.147,5.596,0.058,5.704,0.015,6.08,0.029,5.678,0.033,5.662,0.027,8.162,0.024,7.41,0.03,-12.7328257782053,0.377384798616045,-21.6658893274275,0.127790475115675,8.73437402117564,0.30216589698384,ThinDisk,98.818830449411,HighPM*,,,0.0104520004,0.460661173340932,5.0,0.931835959028678,0.952879369,0.907808006,5480.0,5542.07227,5424.15039,False,False
6,21,61.595448,14.4022,HD25849,Gaia DR3 39026791568954112,19157.0,25849,311151363.0,17.2761,57.65,66.323,7.199268,0.652214,69.56,,,,,,,,,,,,,,,,,,,,,,,,6.043,0.106,5.933,0.043,5.99,0.018,6.32,0.026,6.089,0.02,5.985,0.018,7.708,0.02,7.3,0.03,-72.6428528293166,0.444981906629934,5.95704654586851,0.0170167010044178,-10.3706930279485,0.227840734249619,ThinDisk,98.1170178703999,HighPM*,,,0.018871855,1.15772244131797,8.0,1.56811087329515,1.59100533,1.53133404,6220.0,6304.45557,6171.60791,False,True
7,22,53.23972,16.598429,HD21962,Gaia DR3 42768532716776704,16538.0,21962,435290852.0,20.7443,-24.141,-95.994,6.919528,0.629632,-6.19,,,,,,,,,,,,,,,,,,6301.0127,2.6845703,4.1945,0.0025000572,-0.2864,0.026299983,5.882,0.108,5.747,0.043,5.881,0.015,6.092,0.023,5.942,0.034,5.866,0.017,7.481,0.0,7.028,0.023,13.4381139932936,0.420294122899372,-13.3758313868685,0.0773438321515908,-13.8008272804306,0.259807857044011,ThinDisk,98.8410248986049,HighPM*,,,0.0164473541,2.22224511806598,8.0,1.35646566296571,1.38500905,1.33452284,6490.0,6549.56494,6408.86133,True,False
8,24,58.616806,16.616053,HD24496A,Gaia DR3 43499295632961152,18267.0,24496A,242942985.0,48.849,214.119,-167.427,6.654032,0.885492,18.77,True,True,,,5507.0,117.0,4.64,0.13,0.06,0.06,0.51,0.15,3.31,0.15,0.0,0.0,HARPS,,,,,,,4.941,0.194,4.778,0.094,4.947,0.015,5.384,0.024,5.102,0.026,4.995,0.017,7.557,0.022,6.812,0.023,-21.0350063902265,0.440223845516289,-23.9969642029005,0.0478712234328152,-5.45285718665541,0.232254929070174,ThinDisk,98.7701218679536,HighPM*,,,0.00826542452,5.53516731613455,5.0,0.964548512340753,0.978818953,0.942323387,5390.0,5447.54688,5351.35498,True,False
9,25,57.5957,17.476368,HD24040,Gaia DR3 43802039287826432,17960.0,24040,456863621.0,21.4719,113.433,-251.101,7.3485,0.812512,-9.18,,,True,True,5807.0,105.0,4.06,0.11,0.16,0.04,1.14,0.05,4.23,0.26,1.98,0.25,SOPHIE,,,,,,,6.01,0.111,5.915,0.044,5.989,0.016,6.279,0.027,6.038,0.042,5.969,0.02,8.17,0.095,7.515,0.009,10.3767865515859,0.438482156371949,-58.8373796041041,0.0646671510687561,-14.6689318052974,0.233160731412356,ThinDisk,93.3434797696669,HighPM*,Yes,,0.0159783326,1.45135150587601,5.0,1.36183569673606,1.38735783,1.32716465,5780.0,5849.23242,5728.48877,False,True
