,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,Ls,Ms,Rs,teff,logg,feh,age,Ls_lerr,Ms_lerr,Rs_lerr,teff_lerr,logg_lerr,feh_lerr,age_lerr,Ls_uerr,Ms_uerr,Rs_uerr,teff_uerr,logg_uerr,feh_uerr,age_uerr,Ls_origin,Ms_origin,Rs_origin,teff_origin,logg_origin,feh_origin,age_origin,HZ_period_inf,HZ_period_sup,HZ_amp_inf,HZ_amp_sup,vsini,logRHK,pmag,prot
0,HD19019,Gaia DR3 6963761190199424,HD19019,HIP14258,-,TIC365294034,-,-,J03038+0608A,G0V,PM*,45.9617,6.1333,1.384,1.075,1.05,6110.0,4.419,-0.04,1.65,0.117,0.03,0.023,55.0,0.02,0.03,0.92,0.117,0.03,0.023,72.0,0.02,0.03,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,487,991,0.061,0.0772,,-4.628,,6.3
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,J03174+0739A,F8,PM*,49.3599,7.6558,2.029,1.175,1.309,6020.0,4.276,0.28,3.85,0.168,0.02,0.026,50.0,0.02,0.04,0.6,0.168,0.03,0.026,80.0,0.01,0.04,0.7,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,645,1254,0.0531,0.0663,5.9,-4.559,,6.1
2,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,0.274,0.76,0.731,4882.0,4.587,-0.07,7.22,0.04,0.021,0.021,101.0,0.028,0.04,4.56,0.04,0.022,0.024,101.0,0.028,0.04,4.28,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,142,339,0.1102,0.1474,0.1,-4.966,13.4,49.0
3,HD15095,Gaia DR3 24340923991956352,HD15095,-,-,TIC381002396,-,-,-,G0,PM*,36.5462,10.6378,1.229,0.905,1.029,5990.0,4.368,-0.31,7.65,0.099,0.03,0.021,41.0,0.03,0.04,1.7,0.099,0.03,0.021,77.0,0.02,0.04,1.7,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,251,574,0.082,0.1081,3.6,-4.707,,9.5
4,HD15942,Gaia DR3 26147868272907648,HD15942,HIP11941,-,TIC408819542,-,-,-,G0,PM*,38.5152,12.1809,1.669,1.135,1.224,5930.0,4.316,0.35,4.15,0.129,0.03,0.023,65.0,0.02,0.05,0.9,0.129,0.03,0.023,52.0,0.02,0.05,1.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,581,1148,0.056,0.0703,2.5,-4.913,,15.2
5,HD18144,Gaia DR3 34959010860789632,HD18144,HIP13601,-,TIC257918985,-,-,-,G8V,PM*,43.8225,16.3092,0.705,0.905,0.932,5480.0,4.451,0.07,8.45,0.064,0.04,0.023,56.0,0.03,0.05,3.1,0.064,0.03,0.023,62.0,0.03,0.05,3.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,251,574,0.082,0.1081,,-4.796,,23.5
6,HD25849,Gaia DR3 39026791568954112,HD25849,HIP19157,-,TIC311151363,-,-,-,F2,PM*,61.5954,14.4022,3.316,1.045,1.568,6220.0,4.066,-0.3,6.15,0.268,0.02,0.03,48.0,0.02,0.0,0.6,0.268,0.03,0.03,84.0,0.02,0.01,0.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspspec,BRILLIANT_ISO_v005_Rinput,438,914,0.0638,0.0816,,,,
7,HD21962,Gaia DR3 42768532716776704,HD21962,HIP16538,-,TIC435290852,-,-,J03330+1636A,F5,PM*,53.2397,16.5984,2.941,1.265,1.356,6490.0,4.266,0.07,1.85,0.237,0.03,0.025,81.0,0.01,0.01,0.5,0.237,0.02,0.025,60.0,0.02,0.0,0.4,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspspec,BRILLIANT_ISO_v005_Rinput,793,1496,0.0477,0.0589,,-4.678,,3.2
8,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,J03545+1637A,G7V,PM*,58.6168,16.6161,0.707,0.845,0.965,5390.0,4.419,-0.05,12.95,0.052,0.01,0.018,39.0,0.02,0.03,1.1,0.052,0.01,0.018,58.0,0.01,0.03,0.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,198,467,0.0919,0.1224,3.4,-4.921,,31.6
9,HD24040,Gaia DR3 43802039287826432,HD24040,HIP17960,-,TIC456863621,-,-,-,G1,PM*,57.5957,17.4764,1.865,1.055,1.362,5780.0,4.191,0.18,8.15,0.16,0.03,0.03,52.0,0.02,0.02,1.8,0.16,0.05,0.03,69.0,0.02,0.02,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,454,940,0.0628,0.0801,2.0,-4.898,,18.9
10,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,G4V+G8V,RS*,64.5076,18.2568,1.807,0.955,1.345,5770.0,4.151,-0.07,11.05,0.13,0.02,0.023,59.0,0.01,0.01,1.0,0.13,0.01,0.023,49.0,0.02,0.01,1.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspphot,BRILLIANT_ISO_v005_Rinput,306,689,0.0744,0.0975,,-4.501,,7.5
11,HD27406,Gaia DR3 48203487411427456,HD27406,HIP20237,-,TIC17232188,-,-,-,F9V+,BY*,65.054,19.2335,1.792,1.135,1.187,6130.0,4.336,0.1,2.75,0.149,0.04,0.023,65.0,0.02,0.07,1.1,0.149,0.05,0.023,69.0,0.03,0.07,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,581,1148,0.056,0.0703,14.8,-4.501,,3.4
12,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-,39Tau,"J04053+2201Aa,Ab",G5V,**,61.3344,22.0089,1.045,1.04,0.991,5861.0,4.463,0.27,2.37,0.184,0.064,0.01,224.0,0.036,0.15,1.67,0.184,0.034,0.013,224.0,0.019,0.15,3.6,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,421,889,0.0648,0.0831,2.1,-4.449,,5.2
13,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,1.861,1.065,1.292,5930.0,4.231,0.08,6.35,0.157,0.04,0.027,59.0,0.02,0.05,0.9,0.157,0.04,0.027,66.0,0.03,0.05,1.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,471,966,0.0619,0.0786,4.2,-5.322,,24.6
14,HD24206,Gaia DR3 64085383120724864,HD24206,HIP18097,-,TIC440702883,-,-,-,G7V,PM*,58.0233,22.6716,0.732,0.905,0.899,5630.0,4.471,-0.08,5.55,0.057,0.05,0.018,48.0,0.03,0.1,3.1,0.057,0.05,0.018,59.0,0.03,0.1,3.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,251,574,0.082,0.1081,,-4.711,,16.6
15,HD23965,Gaia DR3 64115585330656000,HD23965,HIP17928,-,TIC440695415,-,-,-,F7,PM*,57.5144,22.5916,1.868,1.095,1.126,6360.0,4.369,-0.2,2.05,0.163,0.04,0.024,84.0,0.03,0.04,0.9,0.163,0.03,0.024,58.0,0.02,0.04,1.1,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,518,1043,0.0592,0.0748,9.0,-4.64,,4.2
16,HD24213,Gaia DR3 66892264508548864,HD24213,HIP18106,-,TIC385590511,-,-,-,G0,PM*,58.0475,25.1631,2.482,1.165,1.429,6060.0,4.185,0.11,4.55,0.204,0.04,0.029,55.0,0.03,0.03,0.5,0.204,0.03,0.029,70.0,0.02,0.03,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,629,1227,0.0538,0.0672,,-5.069,,14.9
17,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,1.574,0.975,1.412,5440.0,4.116,0.18,13.25,0.109,0.02,0.026,40.0,0.02,0.4,0.6,0.109,0.01,0.026,50.0,0.02,0.4,0.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,330,738,0.0717,0.0938,30.0,-4.158,,1.3
18,HD15029,Gaia DR3 72806949867680640,HD15029,HIP11309,-,TIC58898300,-,-,-,F5,PM*,36.3914,11.9712,3.451,1.035,1.61,6200.0,4.036,-0.35,6.45,0.233,0.02,0.026,40.0,0.02,0.03,0.5,0.233,0.02,0.026,70.0,0.01,0.03,0.5,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,421,889,0.0648,0.0831,4.4,-4.895,,9.0
19,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,2.836,1.135,1.493,6130.0,4.136,-0.04,5.05,0.374,0.06,0.05,120.0,0.03,0.05,0.9,0.374,0.05,0.05,79.0,0.03,0.05,1.5,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,581,1148,0.056,0.0703,3.4,-4.87,,9.9
20,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,1.118,0.905,1.015,5891.0,4.373,-0.22,8.15,0.023,0.0,0.01,2.0,0.002,0.02,0.1,0.023,0.01,0.01,2.0,0.002,0.02,0.1,,BRILLIANT_ISO_v005_logginput,BRILLIANT_ISO_v005_logginput,GaiaDR3_gspphot,GaiaDR3_gspphot,GaiaDR3_gspphot,BRILLIANT_ISO_v005_logginput,251,574,0.082,0.1081,,,,
21,23Ari,Gaia DR3 87044422856456192,HD14305,HIP10810,-,TIC246942458,-,23Ari,-,F8,PM*,34.7863,19.6877,1.629,1.015,1.128,6140.0,4.335,-0.17,4.75,0.128,0.05,0.021,66.0,0.03,0.1,1.7,0.128,0.06,0.021,62.0,0.03,0.1,1.8,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,389,838,0.067,0.0865,2.8,,,
22,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,0.474,0.846,0.829,5260.0,4.527,-0.04,7.01,0.097,0.031,0.033,158.0,0.04,0.09,4.22,0.097,0.034,0.037,158.0,0.039,0.09,4.3,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,198,467,0.0919,0.1224,0.1,-4.924,10.0,36.2
23,HD12413,Gaia DR3 97594065126285952,HD12413,HIP9492,-,TIC306216985,-,-,-,F8V,PM*,30.5299,22.1041,3.005,1.215,1.371,6490.0,4.239,-0.04,2.55,0.237,0.02,0.025,83.0,0.01,0.01,0.4,0.237,0.02,0.025,56.0,0.02,0.0,0.4,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspspec,BRILLIANT_ISO_v005_Rinput,710,1361,0.0506,0.0628,,,,
24,HD13382,Gaia DR3 100254161710940928,HD13382,HIP10218,-,TIC306426710,-,-,-,G5V,BY*,32.8464,21.3773,0.998,1.065,0.993,5790.0,4.466,0.19,1.65,0.074,0.03,0.019,56.0,0.02,0.03,0.98,0.074,0.02,0.019,49.0,0.01,0.03,1.5,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,471,966,0.0619,0.0786,2.1,-4.497,,7.1
25,HD13825,Gaia DR3 101309452355657216,HD13825,HIP10505,-,TIC118295030,-,-,-,G5IV-V,PM*,33.8517,24.2713,1.103,0.995,1.077,5700.0,4.366,0.18,7.35,0.082,0.03,0.02,75.0,0.02,0.04,1.7,0.082,0.03,0.02,30.0,0.02,0.04,1.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,357,788,0.0693,0.0902,3.8,-4.907,,21.5
26,30AriB,Gaia DR3 102082477749475200,HD16232,HIP12184,-,TIC22874788,-,30AriB,J02370+2439B,F6V,PM*,39.2406,24.6481,2.37,1.235,1.317,6240.0,4.286,0.22,2.35,0.183,0.03,0.024,57.0,0.02,0.04,0.6,0.183,0.03,0.024,72.0,0.02,0.04,0.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,743,1415,0.0494,0.0612,30.0,,,1.6
