,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,plx,distance,pmra,pmdec,gmag,bp_rp,bmag,vmag,rv_sys,season_length_1.5,eff_nights_1.5,eff_airmass_mean_1.5,eff_seeing_1.5,tyr_rise_1.5,tyr_set_1.5,season_length_1.75,eff_nights_1.75,eff_airmass_mean_1.75,eff_seeing_1.75,tyr_rise_1.75,tyr_set_1.75,SG_NGT_Jan,SG_NGT_Feb,SG_NGT_Mar,SG_NGT_Apr,SG_NGT_May,SG_NGT_Jun,SG_NGT_Jul,SG_NGT_Aug,SG_NGT_Sep,SG_NGT_Oct,SG_NGT_Nov,SG_NGT_Dec
0,HD19019,Gaia DR3 6963761190199424,HD19019,HIP14258,-,TIC365294034,-,-,J03038+0608A,G0V,PM*,45.9617,6.1333,31.9791,31.27,232.147,49.838,6.792566,0.709241,7.474,6.92,24.68,225.0,160.0,1.1166,0.9843,2025.557534,2026.176712,239.0,172.0,1.1414,0.9904,2025.538356,2026.19589,4.969,2.654,0.535,0.0,0.0,0.0,0.964,3.297,5.582,7.059,7.1,6.934
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,J03174+0739A,F8,PM*,49.3599,7.6558,21.2723,47.009,166.357,-6.305,7.265665,0.714235,7.961,7.394,31.35,226.0,160.0,1.1057,0.981,2025.563014,2026.184932,240.0,172.0,1.1306,0.9861,2025.543836,2026.20411,5.535,3.221,0.979,0.0,0.0,0.0,0.627,2.881,5.166,7.039,7.25,7.204
2,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,138.34,7.229,1778.585,1477.306,5.49832,1.198643,0.337,5.826,25.23,226.0,163.0,1.1121,0.9737,2025.538356,2026.160274,240.0,174.0,1.1372,0.983,2025.519178,2026.179452,4.502,2.187,0.27,0.0,0.0,0.03,1.485,3.831,6.113,7.167,7.167,6.738
3,HD15095,Gaia DR3 24340923991956352,HD15095,-,-,TIC381002396,-,-,-,G0,PM*,36.5462,10.6378,28.3173,35.314,83.943,-258.166,7.187089,0.732744,7.883,7.33,-0.12,230.0,166.0,1.0904,0.9593,2025.527397,2026.160274,244.0,178.0,1.1162,0.9701,2025.508219,2026.179452,4.652,2.337,0.345,0.0,0.0,0.059,1.635,3.981,6.266,7.464,7.467,6.94
4,HD15942,Gaia DR3 26147868272907648,HD15942,HIP11941,-,TIC408819542,-,-,-,G0,PM*,38.5152,12.1809,22.5207,44.404,183.664,-35.423,7.351462,0.797716,8.168,7.49,33.97,231.0,167.0,1.0822,0.9562,2025.530137,2026.165753,245.0,178.0,1.1082,0.9664,2025.510959,2026.184932,4.685,2.371,0.363,0.0,0.0,0.067,1.668,4.014,6.299,7.528,7.533,6.984
5,HD18144,Gaia DR3 34959010860789632,HD18144,HIP13601,-,TIC257918985,-,-,-,G8V,PM*,43.8225,16.3092,37.3281,26.789,204.03,-46.598,7.222821,0.899191,8.162,7.41,-1.2,235.0,169.0,1.0664,0.9513,2025.538356,2026.184932,249.0,180.0,1.0934,0.9601,2025.519178,2026.20411,5.319,3.004,0.794,0.0,0.0,0.007,1.302,3.647,5.932,7.67,7.8,7.476
6,HD25849,Gaia DR3 39026791568954112,HD25849,HIP19157,-,TIC311151363,-,-,-,F2,PM*,61.5954,14.4022,17.2761,57.883,57.65,66.323,7.199268,0.652214,7.708,7.3,69.56,233.0,164.0,1.0723,0.97,2025.582192,2026.223288,247.0,175.0,1.099,0.9725,2025.563014,2026.242466,6.252,3.937,1.684,0.063,0.0,0.0,0.439,2.597,4.882,7.065,7.683,7.676
7,HD21962,Gaia DR3 42768532716776704,HD21962,HIP16538,-,TIC435290852,-,-,J03330+1636A,F5,PM*,53.2397,16.5984,20.7443,48.206,-24.141,-95.994,6.919528,0.629632,7.481,7.028,-6.19,235.0,167.0,1.065,0.9577,2025.560274,2026.206849,249.0,178.0,1.0921,0.9633,2025.541096,2026.226027,5.852,3.537,1.284,0.005,0.0,0.0,0.862,3.181,5.466,7.502,7.867,7.742
8,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,J03545+1637A,G7V,PM*,58.6168,16.6161,48.849,20.471,214.119,-167.427,6.654032,0.885492,7.557,6.812,18.77,235.0,166.0,1.0647,0.9624,2025.573973,2026.220548,249.0,177.0,1.0916,0.9661,2025.554795,2026.239726,6.352,4.037,1.784,0.089,0.0,0.0,0.49,2.681,4.966,7.175,7.867,7.852
9,HD24040,Gaia DR3 43802039287826432,HD24040,HIP17960,-,TIC456863621,-,-,-,G1,PM*,57.5957,17.4764,21.4719,46.572,113.433,-251.101,7.3485,0.812512,8.17,7.515,-9.18,236.0,167.0,1.0628,0.9591,2025.568493,2026.217808,250.0,178.0,1.0903,0.9636,2025.549315,2026.236986,6.352,4.037,1.784,0.089,0.0,0.0,0.49,2.681,4.966,7.175,7.867,7.852
10,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,G4V+G8V,RS*,64.5076,18.2568,21.5698,46.361,113.308,-31.327,7.37156,0.841778,8.209,7.528,,237.0,166.0,1.0609,0.9635,2025.584932,2026.236986,250.0,177.0,1.0866,0.9654,2025.565753,2026.253425,6.86,4.554,2.301,0.29,0.0,0.0,0.24,2.214,4.499,6.78,7.917,7.917
11,HD27406,Gaia DR3 48203487411427456,HD27406,HIP20237,-,TIC17232188,-,-,-,F9V+,BY*,65.054,19.2335,22.02,45.413,114.586,-35.172,7.326902,0.713024,8.086,7.46,38.36,237.0,166.0,1.0574,0.9616,2025.584932,2026.236986,251.0,178.0,1.0849,0.964,2025.565753,2026.256164,6.896,4.587,2.334,0.307,0.0,0.0,0.254,2.247,4.532,6.815,7.983,7.983
12,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-,39Tau,"J04053+2201Aa,Ab",G5V,**,61.3344,22.0089,59.4728,16.814,172.212,-130.609,5.756682,0.803842,6.523,5.903,24.11,239.0,169.0,1.052,0.9544,2025.573973,2026.231507,253.0,180.0,1.0796,0.9581,2025.554795,2026.250685,6.485,4.171,1.917,0.13,0.0,0.0,0.591,2.831,5.116,7.354,8.15,8.113
13,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,21.1238,47.34,-83.268,-103.789,7.3742,0.789429,8.059,7.52,-80.2,237.0,169.0,1.0616,0.9521,2025.549315,2026.20137,250.0,180.0,1.0874,0.9585,2025.530137,2026.217808,5.885,3.571,1.317,0.007,0.0,0.0,0.89,3.214,5.499,7.55,7.933,7.798
14,HD24206,Gaia DR3 64085383120724864,HD24206,HIP18097,-,TIC440702883,-,-,-,G7V,PM*,58.0233,22.6716,33.5609,29.797,206.762,-339.42,7.400138,0.860472,8.258,7.575,11.23,240.0,170.0,1.0519,0.9515,2025.565753,2026.226027,254.0,182.0,1.0798,0.9563,2025.546575,2026.245205,6.519,4.204,1.951,0.142,0.0,0.0,0.615,2.864,5.149,7.393,8.217,8.174
15,HD23965,Gaia DR3 64115585330656000,HD23965,HIP17928,-,TIC440695415,-,-,-,F7,PM*,57.5144,22.5916,23.2079,43.089,155.046,-62.508,7.165409,0.665865,7.784,7.29,7.21,240.0,170.0,1.0523,0.9507,2025.563014,2026.223288,253.0,181.0,1.0777,0.9557,2025.546575,2026.242466,6.519,4.204,1.951,0.142,0.0,0.0,0.615,2.864,5.149,7.393,8.217,8.174
16,HD24213,Gaia DR3 66892264508548864,HD24213,HIP18106,-,TIC385590511,-,-,-,G0,PM*,58.0475,25.1631,25.6061,39.053,-123.04,-164.354,6.641129,0.725672,7.335,6.787,-39.63,241.0,171.0,1.0486,0.9485,2025.563014,2026.226027,255.0,182.0,1.0763,0.9536,2025.543836,2026.245205,6.569,4.254,2.001,0.16,0.0,0.0,0.651,2.914,5.199,7.452,8.317,8.264
17,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,27.3205,36.603,237.667,-270.918,7.04856,0.92237,7.994,7.28,,241.0,172.0,1.0473,0.9456,2025.554795,2026.217808,255.0,183.0,1.0745,0.9515,2025.535616,2026.236986,6.102,3.787,1.534,0.033,0.0,0.0,1.087,3.431,5.716,7.851,8.367,8.147
18,HD15029,Gaia DR3 72806949867680640,HD15029,HIP11309,-,TIC58898300,-,-,-,F5,PM*,36.3914,11.9712,16.5434,60.447,-121.306,-282.04,7.237378,0.672151,7.85,7.36,-8.41,231.0,167.0,1.0836,0.9549,2025.524658,2026.160274,245.0,179.0,1.1096,0.966,2025.505479,2026.179452,4.685,2.371,0.363,0.0,0.0,0.067,1.668,4.014,6.299,7.528,7.533,6.984
19,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,34.1525,29.28,-20.534,49.072,5.867583,0.728794,6.541,6.012,,234.0,169.0,1.0713,0.9492,2025.524658,2026.168493,248.0,181.0,1.098,0.9601,2025.505479,2026.187671,4.785,2.471,0.42,0.0,0.0,0.094,1.768,4.114,6.399,7.72,7.733,7.111
20,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,30.188,33.126,116.887,-158.459,7.192943,0.778679,0.0,7.304,4.21,237.0,171.0,1.0574,0.9441,2025.530137,2026.182192,251.0,183.0,1.0844,0.9539,2025.510959,2026.20137,5.402,3.087,0.863,0.0,0.0,0.018,1.402,3.747,6.032,7.824,7.983,7.604
21,23Ari,Gaia DR3 87044422856456192,HD14305,HIP10810,-,TIC246942458,-,23Ari,-,F8,PM*,34.7863,19.6877,30.8215,32.445,-19.858,-125.291,6.694116,0.716031,7.374,6.833,3.06,237.0,173.0,1.0561,0.9389,2025.513699,2026.165753,252.0,185.0,1.0852,0.9516,2025.491781,2026.184932,4.935,2.621,0.514,0.0,0.0,0.144,1.918,4.264,6.549,7.999,8.033,7.294
22,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,130.8234,7.644,-300.737,-673.539,4.99968,1.022485,6.09,5.252,-33.58,238.0,176.0,1.0555,0.9319,2025.489041,2026.143836,252.0,187.0,1.082,0.9464,2025.469863,2026.163014,3.935,1.621,0.07,0.0,0.0,0.746,2.918,5.264,7.452,8.033,7.917,6.329
23,HD12413,Gaia DR3 97594065126285952,HD12413,HIP9492,-,TIC306216985,-,-,-,F8V,PM*,30.5299,22.1041,18.8876,52.945,5.476,-52.006,7.098901,0.620558,7.679,7.209,-21.81,239.0,175.0,1.0519,0.9335,2025.5,2026.157534,253.0,187.0,1.0785,0.9467,2025.480822,2026.176712,4.502,2.187,0.27,0.0,0.0,0.426,2.485,4.831,7.113,8.167,8.152,6.896
