,GAIA,HD,name,method,year,period,radius,mass,k,ecc,peri,Tp,T0,Tc,i,MP_stability
0,Gaia DR3 43802039287826432,HD24040,HD 24040 b,Radial Velocity,2006,3552.0,,1287.205,50.53,0.04,110.5,2454308.0,2456932.0,2456932.0,,39.8
1,Gaia DR3 43802039287826432,HD24040,HD 24040 c,Radial Velocity,2021,515.4,,63.8835,4.85,0.11,-17.1887,,2454984.0,2454984.0,,39.8
2,Gaia DR3 102082477749475200,HD16232,30 Ari B b,Radial Velocity,2009,335.1,,3140.03,272.0,0.289,322.0,2453890.35,,2453981.77,,5.0
3,Gaia DR3 105332908999068032,HD12661,HD 12661 b,Radial Velocity,2000,262.6193,,737.35,73.595,0.3689,296.15,2451526.75,2456079.28,2456079.28,,0.0
4,Gaia DR3 105332908999068032,HD12661,HD 12661 c,Radial Velocity,2002,1702.35,,585.5858,30.185,0.028,60.0,2454127.21,2455774.9,2455774.9,,0.0
5,Gaia DR3 116037204451525376,HD18143A,HD 18143 b,Radial Velocity,2022,10.2851,,10.8062,3.614,0.224,60.123,2427146.014,,2427146.55,,41.7
6,Gaia DR3 116037204451525376,HD18143A,HD 18143 c,Radial Velocity,2022,28982.4176,,3177.6484,43.943,0.194,313.318,2427146.014,,2436782.41,35.98,41.7
7,Gaia DR3 129321160344480512,HD17674,HD 17674 b,Radial Velocity,2017,623.8,,276.5121,21.1,0.01,0.0,2455904.8,,2456058.76,,88.0
8,Gaia DR3 169149766470219520,HD26161,HD 26161 b,Radial Velocity,2021,21471.1451,,6668.04,334.5495,0.871,2.2486,2448488.814,2460540.0,2460540.0,59.558,8.0
9,Gaia DR3 224870885460646016,HD23596,HD 23596 b,Radial Velocity,2003,1561.0,,2870.0049,127.0,0.282,273.35,2452362.1901,,2453117.82,36.449,90.0
10,Gaia DR3 297045096447719040,HD8574,HD 8574 b,Radial Velocity,2002,227.02,,608.6325,58.3,0.2985,18.0,2452725.9,2453548.1,2453548.1,,3.0
11,Gaia DR3 317350357498173312,HD8673A,HD 8673 b,Radial Velocity,2009,1639.3455,,4361.7954,283.917,0.7265,323.4295,2452782.0465,,2452946.77,95.45,0.0
12,Gaia DR3 340028235795364864,HD16175,HD 16175 b,Radial Velocity,2009,990.0,,1568.491,98.75,0.6185,221.5,2455800.4,,2455638.29,59.0,7.0
13,Gaia DR3 348020482735930112,HD9826,ups And b,Radial Velocity,1996,4.6171,,218.531,70.51,0.02,51.0,2450006.3503,2454083.853,2454083.85,,4.5
14,Gaia DR3 348020482735930112,HD9826,ups And c,Radial Velocity,1999,241.2405,,629.4375,56.085,0.2495,237.05,2450159.4,2455133.7,2455133.7,,4.5
15,Gaia DR3 348020482735930112,HD9826,ups And d,Radial Velocity,1999,1279.8035,,1307.8672,65.4,0.2815,255.7455,2450071.02,2453360.6,2453360.6,,4.5
16,Gaia DR3 351537889154226816,HD13931,HD 13931 b,Radial Velocity,2009,4449.0,,610.2336,23.38,0.02,86.5,2453359.0,2456650.0,2456650.0,43.0,100.0
17,Gaia DR3 369092520004831232,HD3765,HD 3765 b,Radial Velocity,2021,1211.0,,54.9843,3.85,0.298,-63.0254,,2455607.0,2455607.0,,100.0
18,Gaia DR3 385334230892516480,HD1326,GJ 15 A b,Radial Velocity,2014,11.4432,,5.35,2.85,0.075,30.0,,2455783.63,2455783.63,,83.9
19,Gaia DR3 385334230892516480,HD1326,GJ 15 A c,Radial Velocity,2018,7600.0,,36.0,2.5,0.27,-58.4,,2463451.84,2463451.84,,83.9
20,Gaia DR3 553480551264062848,HD33564,HD 33564 b,Radial Velocity,2005,388.0,,2892.1,232.0,0.34,205.0,2452603.0,,2452520.93,,6.0
21,Gaia DR3 560130775546153344,HD7924,HD 7924 b,Radial Velocity,2008,5.3978,,8.68,3.595,0.058,25.0,2454727.27,2456174.716,2456174.72,,3.8
22,Gaia DR3 560130775546153344,HD7924,HD 7924 c,Radial Velocity,2015,15.2998,,8.3478,2.485,0.099,26.5,,2455203.73,2455203.73,,3.8
23,Gaia DR3 560130775546153344,HD7924,HD 7924 d,Radial Velocity,2015,24.4484,,6.2712,1.62,0.19,70.5,,2455188.3,2455188.3,,3.8
24,Gaia DR3 581100382135253760,HD75302,HD 75302 b,Radial Velocity,2023,4356.0,,1716.2734,,0.39,307.0,2457607.0,,2458918.89,29.0,
