,priority,GDR3_ID_number,expTime,expN,obsN,groupEnableTime,groupDisableTime,acqType,schedulingMode,t0,period,delta,moonMaxFI,minMoonDist1,ifExceedsMinFI1,minMoonDist2,ifExceedsMinFI2,rvMoonRange,rvMoonMinFI,rvMoonMinAlt,twilight,maxSeeing,maxExtinction,maxSkyBrightness,minAltitude
0,9,2802397960855105920,660,1,46,2026-01-01T00:00:00.000,2026-02-16T11:59:51.792,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
1,9,2552925644460225152,660,1,41,2026-01-01T00:00:00.000,2026-02-11T12:00:11.664,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
2,9,96331172942614528,660,1,59,2026-01-01T00:00:00.000,2026-03-01T12:00:09.504,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
3,9,512167948043650816,660,1,68,2026-01-01T00:00:00.000,2026-03-10T11:59:52.656,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
4,9,3195919528989223040,660,1,78,2026-01-01T00:00:00.000,2026-03-20T11:59:44.448,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
5,9,263916708025623680,660,1,119,2026-01-01T00:00:00.000,2026-04-30T11:59:51.792,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
6,9,5726982995343100928,660,1,125,2026-01-01T00:00:00.000,2026-05-06T12:00:12.096,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
7,9,823773494718931968,660,1,177,2026-01-01T00:00:00.000,2026-06-28T11:59:56.976,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
8,9,806000816970521728,660,1,178,2026-01-01T00:00:00.000,2026-06-29T12:00:05.616,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
9,9,1521686782461765888,660,1,220,2026-01-01T00:00:00.000,2026-08-09T12:00:12.960,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
10,9,1661568850770761600,660,1,251,2026-01-01T00:00:00.000,2026-09-09T11:59:56.976,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
11,9,3654496279558010624,660,1,233,2026-01-01T00:00:00.000,2026-08-22T11:59:59.136,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
12,9,1237090738916392704,660,1,257,2026-01-01T00:00:00.000,2026-09-16T11:59:54.384,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
13,9,4423865487962417024,660,1,264,2026-01-01T00:00:00.000,2026-09-22T12:00:14.688,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
14,9,1379500756257031808,660,1,293,2026-01-01T00:00:00.000,2026-10-21T12:00:12.960,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
15,9,4358031335898505472,660,1,261,2026-01-17T11:59:44.880,2026-10-05T12:00:00.864,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
16,9,1359938520253565952,660,1,309,2026-01-03T11:59:50.064,2026-11-09T11:59:47.904,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
17,9,1637110042813188608,660,1,309,2026-01-09T12:00:10.368,2026-11-15T12:00:08.208,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
18,9,4610177733290768896,660,1,308,2026-01-22T11:59:56.544,2026-11-26T12:00:08.640,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
19,9,2041085973668754176,660,1,300,2026-02-07T12:00:08.640,2026-12-05T11:59:51.792,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
20,9,2046207670631964928,660,1,301,2026-02-13T11:59:57.408,2026-12-12T11:59:49.200,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
21,9,2261614264931057664,660,1,304,2026-02-14T12:00:06.048,2026-12-16T11:59:52.224,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
22,9,1872046609345556480,660,1,6,2026-01-01T00:00:00.000,2026-01-07T11:59:53.088,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
